title,author_type,content,rating,pros,cons
Great place to work,"Staff Software Engineer (Former Employee) - San Jose, CA - April 1, 2020",A great company to work for. The benefits are long term oriented. Plenty of opportunity both within your organization and outside of it. Pay is competitive and skills are recognized.,4,"",""
Good,"Senior Software Engineer (Former Employee) - Bangalore, Karnataka - March 13, 2020",Lots of new learnings Good company to work with. Opportunities to grow through different activities Good opportunities for buying discounted products,3,"",""
Machine,"MACHINE ENGINEER (Former Employee) - Bolingbrook, IL - February 18, 2020",It was great working for a big corporation really thought it was going to be something. Turned out a lot of management was out for self. Not trying to let people achieve upper positions in the company,1,"",""
Fun and fast paced work environment,"Software Engineer/Developer (Current Employee) - Los Angeles, CA - December 17, 2019",Mostly use cutting edge technologies. Always have something to learn. Fairly paid and good benefits. Management is far sighted and good. Only negative is there is zero opportunity for remote work which is very important in cities like LA.,3,"",""
Very decent company,"Senior Software Engineer (Former Employee) - Bengaluru, Karnataka - December 4, 2019",learning is good Worklife balance is very good Focus on innovation and creativity at work place Don;t feel like product based company More ownership outside india,3,"",""
Good management and not a good workplace culture,"Internship as Assistant Engineer (Former Employee) - Sony emc bangi - November 28, 2019",Good and excellent to work at sony cause the environment. A lot of things you can learn and gain more knowledge at sony. Need to improve the working hours.,4,"",""
Team oriented atmosphere,"Digital Web Content Management Specialist (Former Employee) - Park Ridge, NJ - November 4, 2019","While I was working there for three years on a contract basis, the experience was a bit backwards, a technology company with antiquated systems made it difficult to use the latest technologies when coding.",3,"",""
Good workplace for freshie,"Assistant Engineering (Former Employee) - Bangi - October 21, 2019","Give training to the fresh graduate. Have mini morning meeting. Management also good. Workplace culture suit for me. work in a group, under supervision by senior. Give freedom to the work but must completed",5,"",""
Nice place with good people,"Solution Architect (Former Employee) - IN - October 12, 2019","Sony is good place to work, They are open to new ideas and have lot of activities/program to bring out the best in you. Enjoyed my time with he company .",5,"",""
Good place to start,"Software Quality Assurance Engineer (Current Employee) - Selangor - October 9, 2019","* For a freshe, it's a great platform to gain knowledge and skills, * Need to cope ti a tight dateline * Need to face with a bad management * For contract, there's low opportunity to converted as permanent",4,"",""
Colleagues help in any way to solve problem,"Assistant Engineer (Internship) (Former Employee) - Perai - September 19, 2019",Flexible time of office hours where there no need rush to punch in. every morning have exercise to keep body always fresh. have frequent meeting in morning to discuss on problem occur and solution that can be taken. This help us learn gain more knowledge and experience in solution given. The management also keep monitoring and teach us dealing with supplier and customer.,4,"",""
Excellent place to work as an Intern,"Associate Release Engineer Intern (Current Employee) - Los Angeles - January 16, 2015",The chances of getting full time offer is hard but not impossible,5,Nice exposure to full time work culture,No joining bonus
My group was exceptional to work with,"Sr. Solutions Architect Mgr CTS | Ca. C7 | Wa. 06 (Current Employee) - Remote - September 18, 2019",Great team to work with. Unfortunately business needs shifted putting us in a position to seek other. Sony is an exceptional company and I'd highly recommend them.,5,"",""
Great working enviroment,"Distributor Frontend Developer (Former Employee) - China - August 23, 2019",I have designed the web page for the online market campaign. The people collaborate well inside each group. There are many events and well benefits for the employee.,5,"",""
Productive and fun workplace,"Senior Software Engineer (Current Employee) - Singapore - August 17, 2019","A lot to learn, good team. Very punctual about timings. Quality is must, learned lot of soft skills and presentation skills . Very competative working environment",4,"",""
Have good culture of housekeeping of workplace and encourage disciplines,"Jig Development Engineer (Former Employee) - Bangi - August 14, 2019",- always looks for improvements in any area that can be improved. - have audit on cleanliness and tidiness of workplace every month. - provides many benefit for employees.,4,"",""
Sony is the best place to work at.,"Quality Assurance Engineer (Former Employee) - San Diego, CA - July 11, 2019","Sony is the best and fun place to work at. It's an excellent professional environment., emphasis on work life balance, progressive and innovative, challenging and aspiring. The people were pleasant to work with.",4,"",""
Totally interesting technology used by millions of people to watch TV,"Senior Software Engineer (Former Employee) - San Jose, CA - April 23, 2019","Sony was the company that built the original DirectTV Broadcast Control System, which supported the broadcast of well over 200 channels to millions of users. Sony was the main contractor for most of the hardware and a large percentage of the software, too. Building and testing such a large, complex system was very challenging - and debugging problems was extremely difficult - but very satisfying when the system's numerous problems were eventually worked out, making DirectTV a very successful satellite provider of TV stations. It was one of my best jobs - ever.",4,"Exciting technology used by millions, making a huge difference all by yourself","Management was very good at managing hardware projects, but not very good at managing the software efforts."
Worked closely with people from different country and culture.,"Software QA Engineer (contract, Staffmark) (Former Employee) - San Jose, CA - April 3, 2019",Worked closely with India and Japan team . Gave me an opportunity to learn more about different culture and background. Small team so better opportunities to keep the stakeholders always in loop.,2,Work life balance,limited learning opportunities
Best work place,"EDI Developer (Current Employee) - Pune, Maharashtra - March 12, 2019","Best work place i have ever seen .i learnt many things from this place.work experience is best.Great place to work. Decent working environment, although it gets a little loud in some of the places... Lots of interesting projects to get involved with.",5,"",""
"Review of National Product Manager, Presentation Display Systems","Product Manager (Former Employee) - Toronto, ON - February 22, 2019",It was a good learing experience to learn the Professional Video Side of the business that became the base for my sales career in professional Audio Visual applications. I was able to learn about new technology in a different market space.,3,I learned a new Product Category as a Product Manager,There were several layers of Management and litte autonomy to do my job
Good work culture,"Functional / Technical Lead (Former Employee) - San Diego, CA - January 31, 2019","Worked as consutant where consutants were treated like employees. Empowered to make decisions. Management was open minded, approachable. Good work culture",4,"",""
Fun place to work,"Senior Oracle Developer (Former Employee) - Bengaluru, Karnataka - December 29, 2018","Worked through Wipro Technologies India Pvt Ltd, Bangalore,India. Its great fun place to work without any tensions. So feel place to share our ideas to apply new techniques.",5,"",""
Operations focused,"Senior Software Engineer (Former Employee) - San Diego, CA - December 15, 2018","starting at Sony was about solving engineering problems, but that soon changed to be so heavily operations oriented that problem solving was mostly deploying code, monitoring logs, and figuring out how to back it off when failures occurred--not very challenging or exciting",3,"good location, great products","management is so focused on ""good old boys"" they overlook people"
Traditional company in a fast changing environment,"Product manager (Current Employee) - London, Greater London - November 28, 2018",""" It is a SONY "" was the old saying, nowadays this is not enough at all and the competition for success got harder and harder, yet the SONY family manages to stand to their own values and fights inch-by-inch.",4,"",""
Buerocacy,"Software Engineer (Former Employee) - Bangi - October 31, 2018",Top down management approach. Japanese doing the same work are promoted to Manager level when they move to Malaysia. Long working hours. Manual and important documents are in Japanese.,3,Stable,not flexible
Amazing business with an abundance of culture and creative minds.,"Senior Product Manager/ Liaison to Tokyo (Former Employee) - San Diego, CA - August 16, 2018","As a Fortune 5 company, it is easy to assume that everyone involved is just a number....another spoke in the wheel. This could not be further from the truth. Everyone has an identity, and is well rewarded for their contribution....from the folks in the cafeteria all the way to the COO, CEO and CFO.",4,"Growth, compensation, individuality.",Very demanding. Lots of travel.
Excellent company,"Programmer Analyst (Former Employee) - Dubai - August 9, 2018",They have very good product and also very good managment. I have worked in this company and really impress how they managed people and do everything to keep best talent in the company,5,"",""
Top development talent,"Senior Software Engineer (Former Employee) - Escondido, CA - July 11, 2018","Was able to work creatively in a quiet, fun, and relaxing environment. The development work was challenging and improved my skill sets many fold. Hope to work there again in the future.",5,All,None
Good Company to work and learn.,"Sr QA Engineer (Former Employee) - Bengaluru, Karnataka - May 31, 2018",Good Company to work and learn. They are trying to use new technologies which is good to know and learn. They expect 100% work on work time. Good environment to work.,5,"",""
a great company in its day,"Project / Product Manager (Former Employee) - Basingstoke, Hampshire - May 28, 2018","Masters of the consumer electronics hardware business for decades, Apple and other companies with stronger software based strategies eventually eclipsed them and - coupled with new Chinese competitors and a decline in the Japanese economy saw them fall from the top.",4,"",""
"Great Product Company, Average Management/Organization","Senior Applications Engineer (Former Employee) - San Jose, CA - May 25, 2018","Sony was a really good company to work for with employee pricing for its products. Very nice/new facility at the time. Management was off-site and structure was not solid, due to multi-nationality based company. Salary was on the low side.",4,"",""
productive and fun work place,"Sony Product Manager (Former Employee) - Dubai - March 27, 2018",being with in the know how company and also a brand oriented in the market makes the doors opens however it was not so effective in the last couples of years,4,nothing,healthcare
Global company with good work culture,"Product Owner (Former Employee) - Istanbul, Turkey - March 23, 2018","After 10 years of experience in Sony IT departments, it would be only fair to say that Sony is like a university where you would experience new technologies, global teams and great company culture.",4,"",""
one of the best places to work for passionate technologists!,"Configuration/release lead + scrum-master (Former Employee) - San Diego, CA - March 22, 2018","Sony does a great job reaching out into the community through various outreach programs, including a successful internship program, from which they acquire and keep top talent that otherwise end up at a startup Get acquainted to the gentle Japanese philosophies, that guide the company to make relevant things, that move and inspire people, using technology that's relevant.",5,"great 'big-room' planning, focused/energetic middle management, great freebies, playstation brand","few silos, which makes it political at times, and does have a cost"
Basically a sweat shop,"Phone Tech Support (Former Employee) - Idaho Falls, ID - March 1, 2018",Above average performance expected from management with very little compensation and no sick leave or vacation time. Management were not very well trained in how to deal with employee interaction.,1,None,"Short breaks, short lunches and no benefits"
Absolutely excellent company to work for.,"COMPUTER PROGRAMMER & ANALYST (Former Employee) - Rancho Bernardo, CA - February 25, 2018","Hands-down, perfect place to work. Enjoyed every year of working. As the computer programmer and analyst, my work was very fulfilling and I felt very appreciated while employed.",5,"",""
Overall a fun place to work with great colleagues,"Scrum Master (Former Employee) - San Diego, CA - February 15, 2018",Fast paced and collaborative with highly competent co-workers. Can be a bit cut-throat at times and upper management was a revolving door. Great benefits but hard to advance your career.,4,"",""
Excellent work culture,"ASSOCIATE IT ENGINEER (Former Employee) - New Delhi - January 31, 2018",Sony known by it's brand name. Working with sony is feel proud and excellent work atmosphere with best management teams make it more lucrative. I love to join it again if get better opportunity.,4,"",""
A great company to start your career,"Senior Software Engineer (Former Employee) - Bengaluru, Karnataka - December 29, 2017",The team I was absorbed into was a great place to start fresh from college. There was exposure to a diverse pool of technologies in a short span of time. There was constant learning.,4,"",""
productive,"Sr. Software Engineer (Former Employee) - Singapore - December 27, 2017","This project was about developing a platform which provides different middle-ware services (Data Manager, Polling Services, Service Manager, Plug-in Manager, Logger Service & Task Manager) and libraries (containers, string, Database, thread, task, stream, file and etc) to mobile’s application programmer.",5,"",""
Best Company to start with.,"Software Engineer (Former Employee) - Vrindavan, Uttar Pradesh - November 14, 2017","I was very lucky to start my career with sony. The team was amazing, Very supportive manager. They provide training now and then. Free Food, transportation.",5,"",""
PlayStation is a great project,"Software Developer (Former Employee) - Santa Clara County, CA - November 9, 2017","I worked on the PS4, PS3, PSP and PSP 2 (Vita). There are a lot of passionate people who help maximize the gaming experience. I wish Sony all the best in the future.",5,"",""
Big yet creative,"Product Manager (Former Employee) - Tokyo, Japan - October 25, 2017","Sony may still be among the most creative companies in the Japanese CE industry. Depending on which branch of business you are in or which product/service you work on, you can make a big impact to the consumer market because of the company's size of operation. But on the other hand, you may get stuck in a rut if in an unfortunate corner.",4,"Famous brand, resourceful internally","Slow and unclear management decision, no free meals"
Productive and fun work place with weekly free breakfast and happy hours. Good team collaboration,"Software Engineer in Test (Former Employee) - San Diego, CA - September 9, 2017",Nice place to work. Occasional happy hours and team building events. Nice work/life balance. Sony discounts available on their products. Nice Team work.,4,"",""
Good place to work,"RPA Developer (Current Employee) - Bangalore, Karnataka - August 30, 2017","Pros Excellent company Long term projects, Lot's of Onsite around the globe Hefty package Paid Leaves Manageable work pressure for Perms Good Place to work",5,"",""
Big will known company that is nice to work for,"Senior Development Engineer (Former Employee) - San Jose, CA - August 21, 2017","Working for a large well-known company is nice. It is very rewarding to see the projects that you work on make their way into products that people buy. As an enormous company, the many divisions seemed to often be in competition with each other. Cross departmental communication was difficult, but could usually be avoided.",4,Discounts at company store,""
Face challenges and learn new things,"Software Engineer (Former Employee) - Bangalore, Karnataka - August 16, 2017",Sony software division in Bangalore supports all the software related support for the company. Follow proper SDLC. Sony management follow strict deadlines for releases. Its nice place to work for developers.,4,reduced price for Sony products.,""
Sony Rocks!,"Tech Support (Former Employee) - Las Vegas, NV - August 6, 2017","Sont Playstation is totally amazing. It was a very competitive job, but that is what made it fun. Work hard and you will be rewarded. Sony definitely is a great company. I would recommend to all of my friends no doubt.",5,"",""
Amazing company to work for,"Senior QA and Release Engineer (Former Employee) - San Jose, CA - July 30, 2017",Good company located in Milpitas with good future . Very dynamic working atmosphere and I would recommend this company to anyone who is looking for a potential growth.,5,Good,Moved to San Diego
exccellent,"TPM Coordinator (Former Employee) - San Bernardo, CA - July 12, 2017",great opportunities for advancement and ability to attend training to further your career. Top notch staff and well run company. Management very in tune to the employees.,5,"",""
"Working at sony india ,was a very good experience. A very good journey,new lessons.Very good team work,good support from tls and seniors.","Tech Support Engineer (Former Employee) - New Delhi, Delhi - July 12, 2017","Comany has provided very good working atmosphere. Shift timings are also good,specilly in case of female employees. Providing good lunch. Getting awards,reorganizations,free vouchers Good teammates,good support from the seniors.",4,"",""
Great Company,"PC Tech Support (Former Employee) - Fort Myers, FL - May 3, 2017",Wonderful company to work for before they change management when they hired american CEO. Before that change they work with you so much with family and training.,5,"",""
Good company for short stint,"Sr. Software Engineer (Former Employee) - San Jose, CA - March 28, 2017",- Trying to be a software product company - Good start to a software professional career - Must hire more employees than contractors; they focus on hiring more contractors,3,"",""
Fun and creative workplace with so many talent engineers!,"Software Engineer Intern (Former Employee) - San Mateo, CA - February 23, 2017","Getting started at PLAYSTATION in the morning with a cup of fresh and hot coffee was a really wonderful experience for everyone. I learned how to think and do like an engineer in industry way, all of the creative opinion just open a whole new world for me!",5,"",""
Temp job,"Client Support Tech (Former Employee) - Woodcliff Lake, NJ - February 19, 2017",Management was good and it just helped put money in my pocket during the holidays. Teh bad part was that all the employees where let go and it was tough to see this,1,none,layoffs
Productive and fun work place with great environment for collaboration.,"Senior Software Engineer-Integration (Former Employee) - Bangalore Karnataka - February 16, 2017",Productive and fun work place with great environment for collaboration. The work timing are very flexible and management really wants to see growth in each and every individual,5,"",""
A nice company to work for,"Project Test Lead, Software QA (Former Employee) - San Diego, CA - February 8, 2017","Verify friendly working environments, all the managers are very professional and helpful. Always provide challenge to everyone and help them get it done.",5,Good company to work for.,""
Better work/life balance,"Java Engineer (Current Employee) - İstanbul - January 30, 2017","You can definitely balance your life and work at Sony. You don't have so much salary increase in a fiscal year. I can clearly say that working hard is not enough to come to a higher position, you should also be political. Your job is secure if you do not act very improperly. Sometimes it can be really hard to communicate with some of the low level managers.",3,"Lunch tickets, work/life balance, job security","management, salary increase"
My team is not supportive.,"SOFTWARE ENGINEER (Former Employee) - Bangi - December 27, 2016",Monitor and run television software that been provided by the designer. The thing I hate the most about my workplace are my team member except my boss is not very supportive and unwillingly guide me as newbie in the team. I always being scolded by team member and sometimes I feel like I being humiliated in front of everyone. There are none enjoyable part when I work at here.,2,"",""
Learning opportunity are limited. Do not provide sufficient working tools ie workstation or software.,"Programmer (Former Employee) - Bangi, Malaysia - December 14, 2016",Working in the factory is very strict and long working hours. Time-out is not allow and difficult in getting leave to be approved. Learned from the Japanese culture which is they are loyal and prepare to work long hours and less pay. The hardest part of the job is insufficient tools for us to carry out our duties ie limited workstation and software The most enjoyable time is year end celebration party when everyone get together enjoy the good time.,2,Company provide accomodation and transportation,"Working for long hours, weekend for rework and midnight call for support."
Best place to work ever,"Software Engineer (Former Employee) - Mexicali, B.C. - December 7, 2016","I very enjoy working with this company since it gave me a lot. They have the culture of six sigma and Kaizen, so it helps to your own professional improvement.",5,Tuition paid,work on Sundays
One of the best learning grounds,"Product Manager (Current Employee) - Dubai Free Zone - December 2, 2016",The best advantage of Sony is the name itdelf. You don't have to explain where you are working when you are working with one of the most admired brand among common man. It is one of the best learning grounds where you can acquire new skills and sharpen your existing.,4,"free lunches, cool team",slow decision making
nice working environment,"Production Engineer Trainee (Former Employee) - Bangi - November 11, 2016","typical day at work would be checking for any problems that occur in the production line. if there is a problem, rectification solution will be given so the problem will not occur nect time.",5,"",""
Productive and able Full Stack Developer,"Senior Software Engineer (Former Employee) - Bangalore India - November 3, 2016",Full stack software developer and worked on developing web and cloud based applications on Java/J2EE stack. Worked on Alfresco Content Migration project. Learnt Alfresco a CMS and developed migration utility.,3,"",""
San Francisco Office is amazing,"Software Engineering Intern (Former Employee) - San Francisco, CA - September 28, 2016",Interned in the San Francisco office and it was a great experience. I got to work on meaningful projects and my co-workers were extremely helpful when I needed help. The office is laid-back and the managers trust you to manage your own time. I highly recommend working here.,5,"",""
Solid,"Product Manager (Former Employee) - Sydney NSW - July 20, 2016","Sony had some great people but management was poor and the future is bleak. typically varied, lots of responsibility, travel.",3,"",""
Fun for a temporary gig,"Game Tester Analyst (Former Employee) - San Diego, CA - July 18, 2016",Pretty nice part time job. security is abysmal and there is no guarantee of being called back. They make it extremely difficult to really have steady work and replace long term workers often. Most people move on within a year or less!,3,Discounts on games,Pay and steady hours
productive and fun,"Senior Assistant Engineer (Production Support) (Current Employee) - singapore - July 4, 2016",i love my previous company. i learned how to handle some difficult situation . really such a good manegement .,5,free lunch,long hours
Nice place to work,"EDI Developer (Current Employee) - Bangalore, Karnataka - May 7, 2016",Its a nice experience to work over there. Learned lot many things throughout my experience. Good platform to start carrier over there. Having good work culture as well.,4,"",""
Dying company trying to look cool,"Software Engineer (Former Employee) - San Francisco, CA - March 1, 2016",Way behind of the competitors. Lot of procedures. Technical lead could be assigned to an unfamiliar technology stack.,2,One free lunch at week,""
Good place to work,"Software Trainee (Former Employee) - Bangalore, Karnataka - February 21, 2016",It is one of the best fastest growing company in India. the work environment company is very good and people to be proud to the part of the company.,4,Logistcs,working hours more
good place to learn,"Oracle Pl/Sql Consultant (Current Employee) - Bangalore, Karnataka - February 8, 2016",good place to work and good working environment friendly atomsphere.I have learned good skilles here.good management.,4,"",""
Unhumane,"Tech Support (Current Employee) - Edinburgh - December 7, 2015",I worked for Sony PlayStation at SYKES Global ltd in Edinburgh. When applying for the job I was told of the shift patterns being variable and flexible. Once in the job role the shift hours were undesirable and unflexible. working from 10.30am to 7pm every day including every weekend (when told it would be 1 out of 6) . There is noi life outside if the company as you do not have any time. The support from the supervisors and level 2 are very poor. Customer service is not what they aim for its all about getting them off the phone. PlsyStation is definitely not ''For The Players'',2,"",""
It engineer,"IT Engineer (Current Employee) - Jaipur, RJ - October 30, 2015","Highly motivated to work as a team. Technical knowledge, awareness, commitment, aware of the profile and objectives of the company. Commitment towards work and enthusiasm to learn. Able to achieve targets.",5,"",""
hostile work environment,"Production Engineer (E1) (Former Employee) - Tuas - October 29, 2015","Morning Meeting before start work. Discuss daily problems and planning. Maintenance, working at dry room, low pressure machine model change quality check Product inspection Management production planning is stressed, messy Machine upgrading is fun due to discuss with other engineers and sharing ideas.",3,"free transportation, OT paid is good, share knowledge, dependable","Long hours working more than 13 hrs a day, working environment(dry room)"
Nice place to work,"Software intern (Former Employee) - 上海市, C23 - August 21, 2015","Nice developing atmosphere, a lot of talented works there. Workload is very balanced and with competitive compensation.",4,"",""
Great place if you want work/life balance,"Software Engineer (Developer) (Former Employee) - Bangalore, KA - June 1, 2015","A typical day at SONY is dull if you do not meet interesting people in the firm. As I entered the firm as a fresher, I learnt a great deal of things, technically and professionally. SONY management is decent although there is no transparency. I had an amazing bunch of co-workers. The hard part of the job was to play different roles in different projects simultaneously. The most enjoyable part of SONY was spending 2 years with a handful of extremely talented and fun people.",3,"",""
fun work place with an amazing staff,"Tech Support (Former Employee) - Las Vegas, NV - May 13, 2015",I really enjoyed working for this company . really gave me a lot of knowledge when it comes to customer service. There is an amazing staff and training was super fun and easy. I was able to lean very fast although I have done customer support previously before coming to this company. I would recommend this job to anyone who is willing to help customers and build more customer service experience.,5,"",""
Fun while it lasted,"Tech Support Specialist (Former Employee) - Idaho Falls, ID - May 11, 2015","sony is a great place to work for, if they actually keep the building you are working in. They fired everyone I worked with because they no longer wanted to rent out the building. To try and avoid everyone taking unemployment they offered a buy out of 1000 dollars max. From what I hear only managers got the max payout and it was even more than what we were told. Most who stayed till the end didn't get much of a pay out if they didn't take unemployment.",2,Pay,Closing up stores
Bank one,"Software Developer (Current Employee) - Bangalore, KA - May 4, 2015",Bank one is the one of the world largest company it located on USA the work environment is mush batter then what i'm except .,4,nice work environment,time problem
"Biased workplace, Testing work","Software Engineer (Current Employee) - Bangalore,Karnataka - April 29, 2015",Few helpful colleagues Biased management No good work...manual testing Unnecessary rules and regulations...which vary from project to project No oppurtunity to grow,2,Biased work environment,""
Supportive team,"Software Engineer (Current Employee) - Bangalore, KA - April 29, 2015","It was a nice experience working for Sony Bravia TV with some of the most wonderful colleagues. However, the unstablity of the project and lack of good work during the later part of the year made things bad.However the enthusiasm of the team never went down. But the manager's role to earn projects for the organization/team failed and it was not good at all.",1,"",""
Productive and fun workplace,"Programmer (Former Employee) - TAOYUAN - April 8, 2015",I like Sony Video Taiwan because I learned many things related to my field of study. I have received bigger salary because I have more overtimes. I learned how to deal with different kinds of person.,5,"",""
Flawed Heartbreaker,"Software Engineer (Former Employee) - San Diego, CA - February 20, 2015","The people are absolutely awesome, like a family. However, even with all of this talent, it is never focused properly. If a little dead weight was taken off of the top, it is possible that it would shoot up like a rocket.",3,"",""
Productive and fun workplace,"Software Engineer (Former Employee) - Bangalore, KA - February 4, 2015",SISC is an excellent organisation to earn valuable experience for freshers and also to establish a secure long term career.,4,"Management, work-life balance",None
"Typical Japanese top-down, totalitarian corporate culture","Technical Support Specialist I (Former Employee) - Long Beach, CA - January 19, 2015","If you are a closet fascist, Sony or any other large Japanese corporation might work for you. Any perceived break in the ranks (pretty much any independent thought) will be punished harshly. Every employee is like a prison trustee motivated to abuse and inform management on other employees' behavior. You live to work. You are always wrong. The only bright side is that they paid us well to take this sort of abuse for 12 hours a day. Unlike American companies, they will not pretend to like you until they can find a way to get rid of you. Like Nike, they just do it. You're gone, and no worries about pesky state employment regulations or U.S. federal law. On the other hand, if you turn your life and mind over to them in totality, you will probably do well there and have a job for life.",3,Compensation and benefits,Fascistic corporate culture
good business school,"Product Manager (Former Employee) - Москва, CEN - December 22, 2014","product marketing is not simple 'marketing' at sony. its a whole general management of product category incl business streategy, portfolio management, budgeting, financial management and operations set-up. An extremely valuable school for learning how consumer goods business works.",4,stable salary,no growth
fun environment,"Embedded Software Engineer (Former Employee) - San Diego, CA - October 27, 2014",intelligent co workers high level of technical expertise fun environment open and accommodating management,4,"",""
Great environment and very productive.,"Software Quality Engineer (Former Employee) - Bangi, Selangor Malaysia - September 16, 2014","I worked as Software Quality Assurance Engineer in TV of Pan Asia Department. I have been doing quality test on the TV products based on the project specification. It was an interesting team project since I had to learn difference communication and television system since the project is global. The co-workers are really fun, enthusiastic, helpful and profound with the job.",5,Great privilige and the site has good facilities.,-
Qa,"Software QA (Former Employee) - Liverpool, ENG - August 11, 2014",I tested games and drank too much coca cola. I had to write reports on various bugs found in games for 1st and 3rd party release titles for the Sony PS3. I did a 6 Month contract in IPlay when I returned to Scotland doing the same thing but for mobile devices and was more code orientated.,3,10p a can of coke!!,The pay was terrible
Very nice,"QA Software Test Engineer (Contractor) (Former Employee) - Culver City, CA - August 1, 2014",Very nice Very nice Very nice Excellent management Good people Con: Phasing down of dept.,4,"",""
I enjoyed working at Sony and loved the working environment with great management.,"Senior Software System Engineer (Former Employee) - San Diego, CA - July 20, 2014",I enjoyed working at Sony and loved the working environment with great management.I especially missed my great colleagues there. Also I feel so thankful to my former managers who guided and encouraged me to improve my technology skill sets dramatically which benefit me so much. They also provided me all the possible opportunities to go to the next level.,5,None,""
Productive Work Place,"Android Developer (Current Employee) - Princeton, NJ - July 2, 2014",Enjoying work with my current Organization. Learnt lot of technical things and the process. Started as an Intern here and now evolved as a developer.,5,"",""
