title,author_type,content,rating,pros,cons
Great gamer culture with growing pains,"Facilities Assistant (Former Employee) - Los Angeles, CA - March 15, 2017","The Facilities department has some Job Security/Advancement issues, however the workplace culture throughout the company is phenomenal. Facilities in particular does have a rather poor work/life balance, however it also tends to be extremely satisfying within that team as they have an extremely amazing camaraderie. Benefits are extremely competitive, compensation could use some work. Management is growing and adapting constantly. But ultimately this place is heaven on earth for any gamer looking for a place to have a career.",4,"Free lunch and dinner, PC Bang + Arcade, Nap rooms, beautiful campus","Occasional political feuds, growing pains, feeling guilty about having to leave the office at the end of the day"
@Riot,"Senior Illustrator/Concept (Former Employee) - Los Angeles, CA - January 18, 2017","A great place to work and live. Don't forget we have a campus and we are all in High-school again, staying up late playing games and working on what we are passionate about.",5,Free food and $300 Gamefunds a year!,weight gain and less sleep
"Awesome place to be, surrounded by super fun people.","Production Worker (Former Employee) - Ciudad de México, D. F. - January 7, 2017",I worked to set up for the Latin American semi final and everything about it was amazing. The people there all got along well and enjoyed what they did.,4,Fun events,""
Very Fun Place To Be,"Security Officer (Current Employee) - Santa Monica, CA - September 5, 2016","My primary function as Security Officer At Riot Is creating a visible deterrence For prevention of crime,customer service assist with the functions of physical and personal security and safety measures for clients and the general public, protect property from theft or damage. Other duties include access control, crowd control, list management,emergency response, searching, law, policy, and regulation enforcement.",4,Free Lunch,Bad Managment
Productive and Fun Work Place,"Staff Accountant (Contractor) (Former Employee) - Los Angeles, CA - July 1, 2016",Riot Games Inc. has a very unique culture. This is a company definitely where everyone wants to be. I enjoyed my time as a contractor in Riot Games.,4,Free lunch and dinner,Job Expectation
A great place to grow and learn,"Associate Manager - Merchandise (Former Employee) - Los Angeles, CA - November 22, 2015",Is a fast paced environment that encourages exploration and values the input of all members on the team. The team is willing to take risks given proper thought has been given before launching a new initiative. The team will not continue down paths that are no longer viable and will pivot to new opportunities quickly.,4,"",""
Productive and unique working enviroment,"Transcriber, gaffer, grip and PA (Former Employee) - Santa Monica - July 15, 2015",Riot Games was by far my favorite job that I have had the pleasure of obtaining. My co workers were just the best people on earth. They were super knowledgeable in their fields of expertise and really helped me feel welcomed. The management was very easy to get used to and had no problems doing the tasks they asked for. The best part of the job was going on location and filming at Blur Studios. Got to see and work hands on with a lot of professional equipment. Best company to work for and their endless amounts of cereals made each day a whole lot sweeter.,5,"very hands on, great enviroment",Na
Exciting workplace with a gamer culture and a lot to prove!,"Software Engineering Intern (Former Employee) - Santa Monica, CA - October 27, 2014","I learned how to build an API using Node.js; my project felt awesome, because even as an intern, my work was impactful and I knew that someday, my feature would ship to a live environment. Management is an interesting beast. As a software engineer, there's a few people at play that you have to be cognizant of. Development manager, which deals with developer relations and how productive a team can work. Engineering managers, which are technically ""the boss"" of a specific team and/or function, and ""product managers"", who drive the priorities and the workflow of the products of teams in play. The problem here is that even if the dev and the product manager likes you, if the engineering manager has a reason not to, you're out. There's nothing you can do to change that. Lesson learned? It doesn't matter who else you please, if your direct (engineering) manager doesn't like you, you're boned - good luck ever working there again. Co-workers were awesome - most of them were pretty young, but the odd time you'll encounter a ""dinosaur"" - someone who's been around for a few years and knows the tech stack like it's their own child (probably because they built it, heh!). The open office environment really lends itself to a greater sphere of influence and learning, since anyone around you can give you good feedback, and give you the tools you need to succeed. The hardest part of the job was really focusing on specific priorities - sometimes, a lot of work can come up, and you need to understand where to draw the line, and how exactly to ensure that you stay on top of your work - more...",4,"$10 off dinner if you stay late, game at work (breaktime!), gamer culture/atmosphere",work/life balance can be a challenge
"Powerhouse game developer, clinging to an outdated ""start-up"" mentality","Analyst (Current Employee) - Santa Monica, CA - August 29, 2014","Riot Games is second to none. Benefits and work environment are the best in the industry, but like everywhere else in game development, monetary compensation lags severely behind the enterprise software development companies. Perks like unlimited PTO, company-wide vacations and a semi-annual hack-a-thon make Riot an amazing place to work, but with meteoric growth comes problems of astronomical scale. Riot was built by entrepreneurs, and still clings to that ""we're a startup company, playing loose and cowboy with the rules in order to get the product out the door"" which worked in 2009 when Riot had startup numbers of employees, and players still thought that League of Legends was just another Warcraft3 mod. Now, with over 1200 employees worldwide, that procedureless, startup mentality is starting to bite Riot. Cadenced deployment, something that enterprise software and many other game companies perform without a hitch as a basic process of development, is still a rather frenetic and error-fraught process, as developers, artists and designers check content directly into the production pipeline at the eleventh hour, causing the teams responsible for deploying the latest patch worldwide no end of headache, and the appearance of reinventing the wheel every two weeks. That being said, the individual Rioters are nothing short of extraordinary. While people make mistakes all the time, there are very few who respond to problems with ""that's not MY job to fix"" and walk away. Sure anyone capable of checking in assets to source control should know how to do that properly, but when an - more...",4,"Unlimited PTO, excellent insurance of all types, great interpersonal environment","Virtually processless workflow, constantly shifting technologies, lack of communication."
Very passionate owners with a strong vision.,"Associate Producer/Intern - PC Game (Former Employee) - Culver City, CA. - July 26, 2013",I directed the way characters would move in the game. Did some level and character design as well as help outsource assets with the producer. Hardest part about the job was my personal school schedule. The easiest was creatively collaborating with the design team.,5,"",""
Dream Team company,"Russian Community Coordinator (Former Employee) - Dublin - June 29, 2013","Riot Games is amazing company with great work environment, brilliant team and clear goal.",5,"Social activities, great team, benefits","Unpredictable working hours, which is normal for gaming industry :)"
A company on the rise,"Interim Country Manager, GM, MD, Russia/CIS (Former Employee) - Москва, CEN - May 2, 2013",Riot will be very successful in the coming years. The opportunity I had was exciting and very successful.,3,"",""
"Work was easy, but little communication between the client and our office","Custom Support Agent (Former Employee) - Austin, TX - January 21, 2013","It was okay, the people were nice. We did not know what was going on many times with the game, and little communication between the Austin and LA Offices. So it was hard to give players definitive answers to their questions. Quite frustrating and stressful at times.",3,fun work environment,"little communication, more just ""beating around the bush"""
