title,author_type,content,rating,pros,cons
Do not join QA/QC,"QA Assistant (Current Employee) - Singapore - May 29, 2021","-Employees are afraid to speak their mind. I have been reminded on multiple occasions by management that I am paid more than Ubisoft Pune employees and so I need to prove my worth. This cultivates a culture of fear.-Extremely high turnover. Massive batches of new people come and go every few months; you are just a number.-During your onboarding, expect to be introduced by HR to a wide range of good initiatives like Creating a Safe and Respectable Workplace and platforms like Whispli. As well-intentioned as this is, these initiatives are treated like a joke in the department, with even management cracking jokes like “Later I Whispli you”.",2,"Work-life Balance, Informal environment","Empty promises, Poor career advancement, toxic workplace"
"Great benefits, helpful work culture, very stressful information overload","Support Representative (Current Employee) - North Carolina - May 28, 2021","One of the best work experiences I've had. When it gets busy, it gets BUSY, and keeping up with the necessary information can be very stressful. Overall, I feel like the company cares about me as an employee.",4,"Great benefits, team activities","Stressful situations, having to keep track of way too much information"
"Extremely toxic place, everyone is leaving","Coordinator (Former Employee) - Malmö - May 25, 2021","I worked at Ubisoft Sweden for 5 years. Ubisoft is a terrible company to work for. They encouraged toxic behavior for years and when the public found out about how they had ignored massive sexual harassment complaints, as well as countless reports of bullying from abusive managers, they put on a fake act pretending to listen. Ubisoft actually doesn't care and will never change, they are just trying to save face. I witnessed coordinated harassments and the person whom used racial slurs at me during my time at the company has now been promoted to a lead. Absolutely despicable company with the most abusive managers imaginable.",1,Entry to AAA game dev industry,"Low salary, toxic workplace, abusive managers, coordinated harassments, bullying, etc"
Innovative and dynamic culture,"Manager (Current Employee) - Montreal, MO - April 30, 2021",Great company with lots of smart and versatile personalities.Your mileage varies depends on which department you work on.At times it looks chaotic but I guess that is also where innovation comes from,4,Learning,Average pay
Busy day and barely compensated,"Support Representative (Current Employee) - Cary, NC - March 25, 2021","Barely compensated for the amount of work and stress put on you. Management is basically non existent unless they need you for something, Workplace culture everyone is to their self. Team mates and other employees don't care for others but is a big show to flaunt the company as for good for the public.",2,Somewhat flexible work schedule,"Not enjoyable workplace, Horrible Management, STRESS off the roof, unappreciative of their workers"
Quintessential work hard; play hard environment,"Developer (Former Employee) - Toronto, ON - March 14, 2021","Typical game dev environment with flexible work hours, but you are expected to put in around 10-11 hours of work a day.Great place to launch your career, but promotions and compensation adjustments do not reflect rising cost of living in Toronto.For a ""fun"" work environment, the company is very much bogged down by bureaucracy.Workplace culture is extremely cliquish and juvenile, common in many ""young"" companies. Benefits are not as appealing as other tech companies in the city. The hardest part of the job is separating work-life and personal life, as most of your colleagues will not hesitate to respond to an email after hours or during weekends. Not doing so will reflect badly on your performance. Also, difficult to move up the ladder if you do not speak French.The most enjoyable part of the job is working on a globally recognized brand and interesting product.",3,"Interesting projects, cutting edge technology, collaborative atmosphere","Long hours, slightly discriminatory towards anglophones, corporate red tape, juvenile work culture, lack of benefits, non-responsive HR, unfriendly IT department"
Work culture can improve,"Analyst (Former Employee) - San Francisco, CA - February 19, 2021","It depends in a team you work for. Some teams seem great, others not so much. It’s a little bureaucratic and not too open to change. Work life balance definitely needs to be better",2,Business partners,Work life balance. No open door environment
"Unique, challenging and fun workplace unlike anything else","Assistant Front-End Web Developer (Customer Relationship Management) (Former Employee) - Montréal, QC - December 27, 2020","I worked at the Ubisoft Montreal studio for 4 months as part of an internship with the CRM team. As a software engineer with a creative streak and a need for human interaction in the workplace, this office was the definition of perfect: comfortable desk area, natural lighting, and a genuinely great balance between work and leisure.Ubisoft Montreal being a video game studio means that, by default, your work involves play. This does not mean that play becomes work, strictly speaking; an average day at work didn't feel completely like work, and that's impressive.The best part of the position I had was the connection our team had with the other teams in different departments. Marketing and customer relations are a nexus of graphic design, brand integration, data analysis and customer feedback. If you enjoy this level of interconnectivity, you'll enjoy this position.The hardest part (other than saying goodbye) was the holiday rush. Work hours became packed and long at the same time, and the stress levels can get pretty high. That being said, this is predictable and should be expected if you're aiming for a marketing-adjacent position like this one.",5,"Employee benefits, amazing workplace",Long hours during marketing rush seasons
"Fun working environment, relaxed atmosphere, great learning opportunities. Good HR policies. Compensation and benefits could be better.","Game Tester (Former Employee) - Pune, Maharashtra - December 26, 2020","Fun and relaxed working environment. Good work life balance. Great HR policies and initiatives. Encouraging management, good learning opportunities. Compensation and benefits could be better. Recommended to anyone who wants to experience a career in gaming industry.",4,"Free Breakfast and Subsidised meals, great HR policies, relaxed and fun working environment",Compensation and Benefits could be better.
"Fun place to work, good work parties","Data Analyst (Former Employee) - San Francisco, CA - December 1, 2020","The office has a really chill vibe and most people are very nice and really care about each other. There are always fun events going on and lots of free stuff such as T-shirts, cool meeting rooms, and lots of games can be played around the office. The salaries seem fair and people seem to be happy. Even as a non-gamer I still felt welcome, but it is an especially fun place for gamers. Good benefits, including being able to play games during work hours. Also got the opportunity to go to the E3 event in Los Angelos.",4,"events, free stuff, nice people",None
Avoid this place at all cost,"CRM Integration Specialist (Former Employee) - Montréal, QC - November 9, 2020","They overwork you and they do not care how burnt out you are. They expect you to work long hours and they don't allow you to bank any of your overtime hours. When you do take a personal day, they still call you for help. The managers don't help you move up. They gossip and talk about you and pretend to be your friend. It's an awful place to work. I would not recommend this place to my friends or family. IAvoid thi",1,Bagel Fridays,"Overwork, long hours and extremely stressful."
An Amazing Workplace,"Junior Gameplay Programmer (Former Employee) - Singapore - November 2, 2020","Ubisoft is a great place to work as. With a friendly culture and helpful people around, I was glad to have my internship there. The reason why I was not able to stay at the company was due to my own personal problems, coupled with the covid virus situation.",5,"Friendly staff, chances to improve are frequent",No cons to me
Decent remote position,"Seasonal Contract Support Representative (Former Employee) - Cary, NC - October 21, 2020","OverallI will have to say that they did provide me another chance after my no call no show, but I got fired for something that was totally out of my control. Even after I reported it to the appropriate channels, their communication was asinine",2,"",""
Not so bad but no so good!,"Game Tester (Former Employee) - Pune - October 12, 2020","The benifits are really cool with flexible timings and free breakfasts as well as the people working in some depts. are really friendly and help you out whenever you need them. However, I would say the pay as well as balance between work and personal life is lost here. If you truly think work is your life, you are at the right place. But, if you think you need to have a personal life, this might become problematic. The HR system is broken in a way that if you try to make them understand someghing they might not understand at all maybe because they do not have knowledge of what that dept. actally does(they have an overall knowledge but not what it truly is).",3,"Free Breakfast, many good people, amazing learning experience","Salary, Hr, Internal Politics"
Laid back workplace with all necessary tools and training,"Customer Support Representative (Former Employee) - Raleigh, NC - September 17, 2020","I would come into work and grab some coffee and then head to my desk. The shift started with checking my email and getting my desktop set up for the shift for the day. I would speak with managers to see what work was to be done for the day and then get to work. For every 8 hour shift, I would receive an hour lunch and 2 15 minute breaks. The management was super helpful and always looking for improvement which led to me becoming a better employee. The work environment was very laid back and there was no dress code so coming to work in comfy clothes was nice. The hardest part about the job was learning about computer troubleshooting since I had no background in that field and it was a lot to take in at once. The most enjoyable part of the job was making customers happy and helping them with the issue at hand.",5,"Freedom to work from home, helpful managers and employees, technological advancement","A lot of time spent behind a desk, lots of screen time, tiring at times"
Not worth the sacrifice,"English Support Rep (Former Employee) - Morrisville, NC - August 31, 2020",Great job if you don't need the money or you live with your parents or have roommates. Wages wouldn't cover my mortgage even with full time hours. Was let go after I turned down working full time because I was already sorting a full time job in addition to part time here to pay bills.,3,"Fun company sponsored events, cool work environment","Poor pay, poor work/ life balance, lots of favoritism"
One of the best jobs i have done working with ubisoft and its people,"Game Tester (Former Employee) - Montréal, QC - August 27, 2020",Working with Ubisoft on unreleased games was amazing as you can see the progress the game takes and how valuable your critics and opinions are during those sessions. The pay was great for the work I have done and i enjoyed doing the job.,5,"great people, great job, great pay",""
Fun place to start your career but not to stay long there,"Development Tester (Current Employee) - Pune, Maharashtra - August 8, 2020",If you are job hunting but you are not getting a job then Ubisoft is the place for you. But do not stay there more than a year. Slow growth and comparatively less compensation and hike.,3,Free breakfast and affordable lunches,Politics in some departments
Good work-life balance,"QA TESTER (Current Employee) - Pune, Maharashtra - July 26, 2020","GOOD WORK-LIFE BALANCE. Interview process contains 4 rounds. Written test, technical round 1, technical round 2 and then HR. Sometimes both technical 1 and 2 are taken combined. GOOD LUCK",3,"",""
The only positive thing about this place were my coworkers. But even then...,"Customer Relationship Supervisor (Current Employee) - Morrisville, NC - June 20, 2020",An absolute mess of top-down management. Keeps everyone in the dark and then gaslights any employee who complains. The agents who did most of the work were wonderful but management is poor and manipulative.,1,"",""
"Interesting company culture, no clear ownership accross the company.","Marketing Product Manager (Former Employee) - Montréal, QC - May 25, 2020","working at Ubisoft is interesting. The company structure is clearly broken and employees suffer from lack of vision from upper management, lack of clear ownership, lack of clarity on your future in the company. But this cleary varies based on the project you work on. Your salary is not competitive, you are expected to work constantly, pour your heart and soul into your work, but in the end, what is most important isn't your talent, it's how long you sit on your chair at work and how many years you burn giving to the company. Overall, it's not all bad, but the company puts in no effort to retain talent.",3,"",""
Nice Experience,"Game Tester (Former Employee) - Pune, Maharashtra - May 20, 2020",Nice work environment Good work life balance Fair salary Nice activities by HR Nice colleagues Nice and Challenging Work Average Management Average Benefits,4,"",""
Good work environment,"Database Administrator MS SQL/Oracle (Former Employee) - Montréal, QC - May 16, 2020","I worked in GNS and the experience is one of the best in my career. It's a fast-paced and somewhat stressful environment, but they make the environment comfortable. Interaction between people and company culture are good.",5,"",""
I worked as a game tester in this company.,"Game Tester (Former Employee) - Pune, Maharashtra - April 13, 2020",The job culture was very good. We have work in a team as there were various games to be tested within a group. We had a competitive environment with lots of work to complete within the deadline.,4,"",""
Ubisoft is good but salary are very very less,"Senior Web Developer (Current Employee) - Pune, Maharashtra - March 21, 2020","Pros: - Friendly work enviornment - No work pressures - No dress code, even you can come in shorts with slippers Cons: - Very very less salary - Appraisal are not fair - No work from Home policy - In/Out Timings are strictly need to follow",3,"",""
Good Worklife balance,"Tester at UBISOFT (Current Employee) - Pune, Maharashtra - March 10, 2020",The work environment is very good and Work life balance is awesome. No targets are to be achieved. Colleagues are very helpful and also good to work with.,3,"",""
Great place & great people!,"Purchasing Technician (Former Employee) - Montréal, QC - March 1, 2020",People are very friendly and helpful. The work was not so stressful & you manage your one time. Fruits are free and once a week there bagels for everyone for free.,4,"",""
productive and easy to get around,"Game Developer (Current Employee) - Montreal, WI - February 28, 2020",perfection for developers if the design is good then so is the company right? wrong but not to this on. This one is right and so is the people there who are also right...,4,"",""
Magnificent,"Scriptwriter, Rainbow Six Siege (Former Employee) - Montréal, QC - February 27, 2020","Ubisoft is the greatest company I have ever worked for. I was happy to work on a team with lots of other women, which is rare in the video game industry.",5,"",""
Great workplace with lots to learn,"Junior Game Tester (Former Employee) - Pune, Maharashtra - February 1, 2020",A very neat workplace with nice facilities for the employes and fair amount of fun with the amount of work there. Doesn't feel like overwork but you learn new things every day. The work culture is very friendly and doesn't give any stress.,4,"",""
always striving to inspire team work and ownership,"Support Technician (Current Employee) - Cary, NC - January 28, 2020",Great place to work! The staff and management care for coworkers and subordinates. Zero tolerance of abuse elevated this environment to the BEST place I've ever worked for.,5,"",""
games and sacrifices,"Stage (Former Employee) - France - January 23, 2020","video games are great, and you geat to work with real passionate people! But it's also a crowded market that comes with a few sacrifices. Temporary contracts and average salaries are to be expected",4,"",""
It was fun and stressful,"Quality Assurance Assistant (Former Employee) - Singapore - January 7, 2020","It was a great learning experience though as someone who had moderate knowledge of gaming technology, i had a hard time keeping up with everyone else and took me a while to learn everything.",4,"",""
Knowledge of the industry,"Junior game tester (Current Employee) - Pune, Maharashtra - January 6, 2020",Should have a vast knowledge in gaming industry must be up to date with all platforms lf gaming. Willingness is the most important requirement or is you you'd learn it notva problem,5,"",""
Good company for passionate gamers,"Senior Game Tester (Current Employee) - Pune, Maharashtra - January 6, 2020",Good work-life balance. General Shift. Good organization for Gamers. Paying very less salary as compared to other organizations. good place for the gamers,2,"",""
Nice place to start with.,"Test engineer QC (Former Employee) - Pune - December 10, 2019","Nice company. Leading MNC in gaming platform. Not easy to crack the interview. Managers are friendly but work pressure varies from manager to manager. Very social culture. Free ubisoft premium games. Team outings and activities are organised. People can contact any level of person for feedback. Nice canteen. Good quality of food at cheap rates. Veg at 20 rupees and non veg-25. Although, other items are costly. People can play games di",4,"",""
Great Place to work,"HR Assistant (Current Employee) - Cary, NC - December 3, 2019","I love working at Ubisoft, it's got great benefits and a great atmosphere. it's casual however sometimes it can be too casual. overall I would recommend this as a good place to work.",4,"",""
It was great experience to learn,"Game Tester (Current Employee) - Pune, Maharashtra - November 22, 2019","For a fresher / or the person who is ambitious to learn regardless of salary, this company is a good place to work. One can learn a lot of things in his/her assigned tasks.",3,"",""
Experience,"QA Tester (Former Employee) - Bucharest - November 22, 2019","It was my first job in IT, it was good for getting some experience in testing field. The problem was with salary, it was very low paid, somewhere between 250 and 300 euro per month.",4,"",""
Fun workplace,"Support Representative (Former Employee) - Morrisville, NC - November 4, 2019","There are several available shifts to work, weekends are generally included. The atmosphere and dress code is rather laid back but a great management team.",4,"",""
Fun and Enjoyable,"QA Assistant (Former Employee) - Singapore - October 24, 2019",Good Worklife Balance Colleagues were fun and enjoyable Organic organisation structure Lots of room to learn and grow Unable to advance career due to headcount Empty Promises,3,"",""
Good/Bad Experience depending the team,"Applications Administrator Linux (Former Employee) - Montréal, QC - October 23, 2019","It's definitely a startup job for young people who don't have a lot of years of experience, because you will be learn a lot but could be a nightmare always depending your team mates.",2,Nice benefits,Low salaries regarding the actual market
Fun working at Ubisoft Shanghai,"Information System Analyst Intern (Former Employee) - Shanghai, China - October 20, 2019","It was a great working experience and everyone is nice. You can enjoy various activities and games with other colleagues. For a game-maniac, Ubisoft is definitely a place to achieve your dream and experience the studio life.",5,"",""
"Fun place to work, but not a fun salary","Quality Controller (Former Employee) - Ilfov - October 18, 2019","I enjoyed my time there and I got along with everyone in my team, the manager was great and we even had foodstamps too. The only issue was the rather low renumeration.",3,"",""
Fun workplace,"Test Engineer (Former Employee) - Pune, Maharashtra - October 9, 2019","*Pros* No stress and no heavy workload. Employees always have a clear idea of what is expected out of them. *Cons* For a tester, salary barely meets the monthly requirements which is something everyone expects out of a full time job.",3,"",""
Good experience,"Local IT Support Intern (Former Employee) - 上海市 - October 8, 2019",It is a good experience to take intership in Ubisoft Shanghai. The colleagues are very nice in Ubisoft Shanghai and there is a international working environment.,5,"",""
Good for freshers,"Game Tester (Former Employee) - Pune, Maharashtra - September 15, 2019",Company is good for fresher who wants to start career in testing. Salary is very less almost 2yrs in Ubisoft salary is 15k per month. Work atmosphere is good. Career might get stuck if remained for more than 2 years in Ubisoft,3,"",""
A lot of fun,"Quality Controller (Former Employee) - Ilfov - September 11, 2019","If you're looking for the most ""not a job"" job on the market, go to Ubisoft. A lot of fun, great team leaders and nothing stressful. Just play for your money.",5,"",""
Great place to work,"N/A (Current Employee) - Newcastle City Centre, Tyne and Wear - August 27, 2019",Great place to work. Lots of perks and a fun friendly environment. Lots of opportunity to travel and develop your skills with training and projects.,5,"",""
"Amazing workplace, free fruit EVERY WEEK, amazing people","Coordonateur de projet programme Academia (Former Employee) - Montréal, QC - August 18, 2019","I got this job though an acquaintance. I was contracted to build and run a summer camp for children. It was a harrowing experience and then the kids showed up, had a blast and it was all worth it.",4,"Great cause, amazing company culture",Long hours
fun company events,"Tools programmer intern (Former Employee) - Montréal, QC - August 8, 2019","There are fun events like bagel fridays, happy hours on the rooftop terrace, and annual assembly which is basically just a carnival. Employees get access to the gym for free. Also, what's not to love about cool swag.",5,"",""
Ubisoft is such a good company,"Technical Support Analyst (Former Employee) - Montréal, QC - July 28, 2019","When I switched over from an ISP in Montreal, which tend to have old mentalities, I was charmed by Ubisoft. It has been 6 years now and I still love it!",5,"",""
Very relaxed working environment,"Ubisoft Customer Support (Former Employee) - Morrisville, NC - July 22, 2019","Review call or contacts from previous day, log in and begin the day, begin chats for the day, problem solving, finding the solution for the customer, documenting the chat. Proceed to next chat or customer.",4,"",""
"Great place to work and have fun, loads of benifits","Technician, Level 3 (Current Employee) - Montréal, QC - July 18, 2019","I learned a lot here, its a fast paced environment and lots of changes. Management is ok, they support you in your day to day. Workplace is pretty relaxed and fun.",4,No dress code,No overtime pay
Fun and relaxing environment,"Artist intern (Former Employee) - Abu Dhabi - July 7, 2019","Very talented and helpful staff. Learned so much during those 2 months about prop modeling, and texturing for games. The overall atmosphere was inspirational!",5,Lots of office activities as well as outdoor,""
"Great workplace, amazing colleagues","Communication Officer (Former Employee) - Bucharest - June 23, 2019",Ubisoft is a great place to work if you love the gaming industry. The people are friendly and really passioned about what . they do. The benefits are good and the work life balance is pretty good if you are a serious person and do . your tasks,5,free gym,obsolete management
Good work environment and get to learn new things,"QA Tester (Former Employee) - Pune, Maharashtra - May 15, 2019","The working time at ubisoft is good as per the project. At Ubisoft, new people get to learn many things in the field of testing with new software. People around are very helpful and guide in every way. Working with the team is the best part and fun as the culture and environment at Ubisoft is not that stressful.",5,"",""
Engaging and fun,"Game Tester (Former Employee) - Ilfov - May 8, 2019","While the pay may be lacking, it certainly made up for that when it came to the team and the management, where I found like minded individuals. Loving games is a plus in this job.",4,"Free fruits, unstructured time, good team",Pay
Bad workplace and management,"Game Programmer (Former Employee) - Pune, Maharashtra - April 30, 2019",I have been at Ubisoft less than a year. Even people are not staying there less than a year. Very bad management and manager. HR is not cooperative. Salary is very less compared to other industry.,1,"",""
Slow career growth,"Junior Level Tester (Current Employee) - Pune, Maharashtra - April 23, 2019","You get very less appraisals compared to current market statistics and also career growth is zero. I worked for 2 years and still, salary is a big problem in Ubisoft.",3,Subsidized lunch,"Salary, Job Security"
"Great coworkers, not so great management","Customer Service (Former Employee) - Pointe-Claire, QC - April 17, 2019","Very flexible schedule, you choose what days you want to work and they give you shifts accordingly. Easy to give away or take shifts. Shifts, however, are really short: 4hrs.",4,Sometimes free food,Short shifts
"Solid, fun place to work","Project Manager (Former Employee) - San Francisco, CA - April 4, 2019","Good place to work where people treat each other with respect and kindness. People appreciated each other's hard work, which made it easier when tough situations came up. I had a very supportive manager and a good team. Hardest part of the job was dealing with large amounts of last-minute unplanned work that came in from external partners. This is common across the game industry, and was not unique to Ubisoft. However, teams pulled together to hit these tight deadlines.",4,"",""
Temps beware,"Technical Support Specialist (Former Employee) - Morrisville, NC - March 31, 2019","Hey I worked at Ubisoft under contract, first off they don't pay well for the location Morrisville has some high paying jobs but this job only pays temps 12.00 an hour on top of that they don't even get paid lunch or break and since your a temp you don't get any overtime before permanent employees you only have free coffee. Your hours are cut only getting 32 or less. They not only under paid but cut our contract.",3,"Free coffee, free wife","No free snacks, low hours, no benefits"
Great Working there,"Summer Intern (Former Employee) - Abu Dhabi - March 17, 2019","I had a really great time interning at Ubisoft. I loved the work life balance culture. The employees were amazing , and I felt i learned a good amount from interning there.",5,"",""
Very good company,"Software Engineer (Current Employee) - Newcastle upon Tyne, Tyne and Wear - March 9, 2019",Well run managed company well appreciated lots of perks good rate of pay happy to provide training friendly company no complaints at all in all the time I have worked here plenty of scope for transgression with in company,5,Respected and appreciated,None
Very easy going,"Concept Artist (Current Employee) - Montréal, QC - March 2, 2019","Ubisoft has been very comfortable and easy going. The pay isn't great, but it's plenty for the area's cost of living. People are friendly, but with the size of the company, it sometimes feels a bit corporate and lacks the personal, fun culture of smaller studios. I was always able to take time off when needed, come in late or leave early, etc. Very little stress or difficult deadlines. However, there's a lot of poor management and direction on some projects. Many directors are in their position because of office politics, not because they are competent.",4,"Easy going, lots of vacation, comfortable life",Office politics contributes to advancement more than competence
Best place to work,"HR Intern operations (Former Employee) - Pune - February 27, 2019",The best place to work it has the best culture in the corporate industry. They focus on the employees satisfaction and working environment. The management team is awesome.,4,Company culture,Nothing
Fun Workplace,"Junior Game Tester (Former Employee) - India - February 20, 2019",No real growth within the company unless someone relocates to another state or country. Job is nice if you are going to school or have roommates to be able ease the burden of bills. Low pay to sit and talk to people on social media sites. If you're looking to pursue this job and grow be prepared to stay in your position for two years for a slight pay increase. I loved working here! Everyone was welcoming and kind. People across the different departments were always willing to help each other. Great workplace and Very Friendly Culture.,4,"",""
Good luck,"Customer Service Representative (Former Employee) - Morrisville, NC - February 6, 2019","If you're not a geeky, white, and socially awkward don't even apply. You wont advance and if you're not buddy buddy with higher ups or people that control things there, good luck. The culture within this company is trash Great company but this particular location is full of racism. Apply and see for yourself. Nothing quite like having employees be afraid of you because of the way you look. Get ready for some awkward, extremely uncomfortable moments if your a person of color.",2,"",""
Below average,"Tech Manager (Current Employee) - Pointe-Claire, QC - January 28, 2019",unfair system with no protection for its workers and staff. Promises will be made that wont always be followed. Fun job with lots of potential to be a great place to work but too many internal problems.,3,"",""
Productive and fun work place,"Game Test (Former Employee) - Pune, Maharashtra - January 23, 2019",I worked on contract at Ubisoft for 6 months Pros • Open Door Policy • Chance to grow in the industry • Encourage for IJPs Cons • Salary is bit low,5,"",""
Very fun as a start up job,"Quality Controller (Former Employee) - bucharest - January 22, 2019","Very nice work place, had a ton of fun, incredible colleagues, made some friendships. Worked in a larger team and everyone was nice to me, i was able to learn a lot",5,easy job,the salary
Nice work environment,"QA Tester (Former Employee) - Bucharest - January 20, 2019","Nice work environment, friendly faces, great work-life balance. Difficult to advance rapidly and very low salary. Can gain extra by staying overtime, but only when project requires.",3,"Great work-life balance, amazing people and environment.","Low salary, short fixed-term contracts mostly."
A fine crew working on fun stuff,"Concept Artist (Former Employee) - San Francisco, CA - January 14, 2019",I loved working here! Everyone was welcoming and kind. People across the different departments were always willing to help each other. I was a contract employee but it sounded like full timers were well taken care of.,5,"",""
Care more about the quantity than quality,"Spanish Customer Service Representative (Former Employee) - Morrisville, NC - December 14, 2018","Ubisoft Customer Relations Center. In other words Customer Support. This job pay is alright , not something that will help you live on your own or raise a family with. Even though it was 8hrs of work they felt long and stressful because everything had to be perfect. Work conditions are catered to quantity and not quality, they care more about the numbers than the quality you would want to put in helping the player. Also, if you are not in the inner circle of higher ups working there, then forget about, is not a secure job and always have a backup. ( I mean no job is 100% secure but this takes the cake) always think about having a backup plan y you plan to join. Make sure to be on time and ready to work, CRC is very strict on attendance policy, no matter if you have an emergency or you feel terrible and all you want is to lie in bed, you are expected to bring what they call their thought of a valid excuse (death note, doctor note, court note, army note) signed and printed, even if you had an emergency along the way to work expect to bring a valid excuse or else it will count as a warning or strike. You barely get vacation days unless you have have slaved yourself to earn them. Now you do learn lots of technical support for pc and console that will help you with other jobs as well as a sense of what goes behind the scene in a gaming company. I advise not to get your hopes up here, the ambiance is pretty cool and you meet some good people along the way. So just beware.",3,Ambiance is pretty cool and you meet some good people along the way,Management
Good experience,"Animator (Former Employee) - Préfecture de Casablanca - December 7, 2018","At UBISOFT, my mission was to animate 3D and / or 2D characters, use the game engine, optimize, and archive the animations, as well as to Rig and Skin different characters on international projects.",4,"",""
Very good lunching platform in the IT world,"QA Engineer (Former Employee) - Bucharest - November 30, 2018","A gaming industry company with a lot of available positions for both entry level and senior level staff. As an entry level you will have the opportunity to grow your knowledge and professionalism and understand the IT environment. Depending on your qualities, you may have different options for promotions, but mostly it will require a lot of years of dedication. Usually, gaming passionate persons will do better than staff that are professional but more IT oriented.",4,Very good lunching platform for all qualifications,Takes a lot of time to pass through the stages and become a Senior
great company,"SEASONAL CUSTOMER SUPPORT REP UBISOFT (Current Employee) - NC - November 13, 2018",If pay was a few more dollars it would be awesome. i contract in so that shows you that i dont have job security. I would say that the atmosphere is great and so are the people.,5,"",""
"Good for beginners, but salary and lack of opportunities make you think about it","Game Designer (Former Employee) - Barcelona, Barcelona provincia - November 13, 2018","Most people is very friendly, love their career and have a great passion in the gaming industry. It creates a positive work place environment. You get discount on Ubisoft's games and they often gift employees with goodies. Very limited opportunities to advance in the company, often held back by management who ""need you where you are"". Wages are low compared to other companies, benefits are not competitive to market",3,The ambiance in the office is really good. People is friendly and very talented.,No real career development and low wages. Poor management.
"Game Industry - not just all fun, there's work too","Level Artist (Current Employee) - Toronto, ON - October 13, 2018","Getting into the game industry and delivering multiple titles gives you such an enjoyment when seeing others play your game. Ubisoft Toronto delivers on many levels, such as an easy working environment, lots of party gatherings, an openness to speak your mind, being creative, sharing in may similar interests, and having many perks to boot! I'm so glad to be part of this company and working with many talented people.",5,The people,minimal parking space
