title,author_info,rating,pros,cons,helpful
"Stepping stone company, filled with nepotism, upper management/HR won't help you","Jul 24, 2019 - Anonymous Employee in San Francisco, CA",2,"In general a fun and chill work environment. When you quit, it will be the people you miss the most. Your coworkers are great people. The only reason why I'm giving 2 stars and not 1 star. Work/life balance was good for me, but this is dependent on what team you're on.","You don't quit your job, you quit your manager... and your upper management/HR, but especially your manager. Main reason to quit as I could have lived with the other cons. The whole office doesn't trust the incompetent HR team especially when you hear what's happened to various people leading them to quit. You got some creeps in the office. Nepotism is rampant in this office in various teams. People who should have been fired or never even hired in the first place are kept on and usually promoted because they are friends with people from above. Boy's club is very much apparent on a lot of teams and upper management. Maybe when teams have high turnover you should look at the top of the departments who have been there for 10+ years and done nothing to change it. Salary, benefits/perks are very average. Barely a step above public sector companies, definitely way below what your average Bay Area tech company offers. WFH is only allowed dependent on your manager.",9 people found this review helpful
Marketing,"Jul 27, 2019 - Anonymous Employee",2,"Depending on the department, there are really smart and nice people The gaming industry is fun",Too political - people idolize management People are set in their ways and not open to change Some difficult personalities that create a toxic environment Not a lot of perks,5 people found this review helpful
"Good environment, bad work","Jul 21, 2019 - Customer Support Representative in Morrisville, NC",3,"The people are nice and the managers do well. For the most part, everything runs smoothly.","Scheduling was unreliable, which was very annoying. The work was also tedious and most of the time I think people were encouraged to deflect problems that were difficult.",2 people found this review helpful
Great People. Poor Leadership Team,"Jun 25, 2019 - Art Manager in San Francisco, CA",2,The people in the trenches are great,"Studio leads rely on fear based leadership, gas lighting, and toxic gossip to maintain control of the studio. They also don't respect artists nor do they understand creative processes. High turnover as a result.",4 people found this review helpful
Competitive,"Jun 2, 2019 - Anonymous Employee",5,Good environment and friendly people,bad climate and incompetitive benefit,2 people found this review helpful
Good company,"Apr 25, 2019 - Anonymous Employee",4,Great at the beginning of career,low salary compared to the market,Be the first to find this review helpful
"Great company, easy to work hard for if you have passion for video games","Apr 6, 2019 - Brand Project Manager in San Francisco, CA",4,"Fun atmosphere, exciting products, nice people","burnout not uncommon, high turnover in marketing department, working weekends not uncommon during major pulse points",Be the first to find this review helpful
Good place to get into the game industry,"Dec 9, 2018 - Marketing Branch in San Francisco, CA",3,- Mostly great people working there - Great company culture - Give a chance to junior people to get their foot in the door - Good on-boarding process - Opportunities to travel internationally (depending on your role) - Convenient SOMA location,"- Very low pay, not competitive with Bay Area standards - Executive management doesn't seem to know the direction they want to take and how to lead the ground troops (or doesn't communicate it well). Middle management seems to do more for the company - Poor benefits package - Almost no perks, especially considering what other Bay Area companies offer - Work-life balance can get a bit iffy - A pro that sometimes turns into a con: they will not fire employees unless there is a very serious reason. Low performing employees will be given opportunities to prove themselves valuable in whatever small capacity. However, low performing employees who manage to stick around for a long time may end up being promoted by default, resulting in incompetent people in leadership or management positions",8 people found this review helpful
Review,"Dec 6, 2018 -",5,good place to work at many locations,deadines put a lot of stress,Be the first to find this review helpful
Great Place to Work,"Sep 21, 2018 - Anonymous Employee",4,Great people. Sane working hours,Ubisoft has a culture of consensus that sometimes makes it difficult to make business decisions,Be the first to find this review helpful
"Very Poor Work-Life Balance, Relatively Low Pay","Sep 23, 2018 - Anonymous Employee",3,"Flexible hours, good company culture","Way too many hours, known for underpaying employees",3 people found this review helpful
I got robbed twice working at Ubisoft (like literally),"Jul 28, 2018 - Anonymous Employee in San Francisco, CA",1,"-The experience of working on a major title, many people don't get that. My work, and the work on the title was an incredibly rewarding experience.","- My computer was stolen from the ubisoft building from my desk, a hobo off the street somehow came in and stole it. My work PC mind you. I lost 1-month worth of work. - I was robbed the second time when the fire exit door was remarkably left open, allowing more hobos to come in and steal my personal belongings this time. I wasn't the only one robbed in the building. The second time it also seemed like they didn't use insurance to cover the cost because then the insurance rate would go up, and I was told to suck it up. - Management was horrifying about the ordeal, claiming it was my fault my stuff got stolen the second time because a companywide e-mail was sent telling people not to have their personal items at work. So, you can't customize your desk on the fear of being robbed. Seriously, this is a multi-billion-dollar company that can't afford security. - My lead didn't know the direction we wanted to go. Using vague terminology to describe what he wanted in Wikipedia, then yelling at team for not going the direction he thought he wanted to go. - My leads and upper management wanted me to fail by not revealing to me issues they had with me and my work until the project was over. Unwilling to resolve issues amicably. - Producers had less experience in the industry than the development team. This let to many issues when producers would offer solutions that were bad ideas, but demand they be put in anyways, then removed when they didn't work, wasting time and resources from the devs. -Producers managed time but lied about the time we had to finish our part of the game. There are parts of the game untouched by our department because it was never scheduled. And yet my lead had the audacity to blame me for not finishing, left my head scratching. - Wasted food. We would get free food in the cafeteria, but management kept buying food no one wanted, resulting in a lot of food no one would touch. I can't believe I'm saying this, but the company had an unhealthy obsession with buying skim milk for everyone. There would be 1-2 jugs of skim milk that would go untouched rotten by the end of each weak, the fridge would be over-crowded with jugs of different types of milk. Meanwhile, when I requested one of the jugs be whole milk because the skim-milk goes wasted, I sent them a picture of the wasted milk, just so they'd believe me. I got written up for it because that insinuated the person ordering food is wasting food, and I hurt her feelings, apparently by sending the proof via pic. Can't believe that happened. - Instead of hiring a maid to clean dirty dishes, management would often throw away dirty dishes, cups, and silverware, rather than clean them. This happened more than once during production - Mandatory morning meetings wasting 2 + hours of work, providing little to no use to the majority who attend. They expect you to make up the time we missed in OT. - When they tell you to come to OT you better come, otherwise you'll be gone before you know it. - I got harassed by a disgruntled employee because he didn't like the way I worked on his stuff, even though I was asked by management to work on it. -Some leads JUST DON'T COMMUNICATE with their teams. Like, am I supposed to be working on this? Who is supposed to be working on this? It was never communicated, sometimes resulting in two team members having worked on the same thing. -Despite the many women and LGBT crowd at the company, I got picked on for being gay. In fact, one person calling me names, was a lesbian just trying to fit in with the guys. - One time I found spit in my coffee cup. I told my lead about it and he told me it was no big deal and to ignore it.",31 people found this review helpful
Sub Standard Quality Standard and Unstable work environment.,"Jun 15, 2018 - Player Support in Raleigh, NC",2,-Free Games -Networking Opportunities -Working next to like minded geeks,"-Customer service department is under funded and it shows. Training is almost irrelevant to what you will actually be doing. The customer service department only cares about hitting numbers. Bare minimum quality, Any time an opportunity arose to go above and beyond for the customer, they just refused. Everything is done through text macros and there is almost zero time to add a personal touch. -Because of unrealistic metrics, no one takes the time to figure out real solutions. What almost EVERYONE does, is just throw some sort of generic troubleshooting steps at the customer and since agents don't have to take ownership of their support tickets, the mess is just pushed off to next agent. Example: Customer Comes in for game crash. Then First agent sends general troubleshooting steps. The customer doesn't read it because the emails are wall of poorly written instructions. Catered to someone with an experienced technical background, but definitely not towards the 16 year old just wanting to play their game. Then next agent, reads a few words of the reply and decides which other generic troubleshooting steps they want to send the customer. This goes on until the customer gives up actually trying to get help, or one of the over worked ""experienced agents"" takes the time to actually fix the issue. -All full time employees are jaded and burnt out -Customer base is pretty toxic. Lots of toxic players play Rainbow six seige -Customer service department is told they a loss mitigation and that they have no value. They are seen as a liability, caused by NDA leaks, which would be prevented if they actually cared about bringing quality people into the workplace. I didn't even get an in person interview. -There is about a 80% chance they are going to let you go after the buzz of their new game is gone and , if you are lucky next time they release a game. They may call you back just to under pay you and over work you again. And maybe after they do they to you a few times, they MIGHT hire you on directly instead of through a staffing agency. -Career minded customer service agents are squeezed out. There is alarming amount of resistances to listening to constructive feedback. They just wan't button pressers, not intelligent career minded individuals.",2 people found this review helpful
Associate Director,"May 12, 2018 - Anonymous Employee",5,"Lovely spirit, welcoming company, passionate about gaming.","Big company, slow to change",Be the first to find this review helpful
One of the best (and most challenging... in a good way) experiences in my career,"Mar 23, 2018 - Anonymous Employee",4,Great company and products. A fun place with lots of smart and talented people to learn from. Some good perks.,"Working really long hours, especially leading up to the launch of a game. Work-life balance is sometimes difficult to achieve.",1 person found this review helpful
Ubisoft North American Sales Office,"Jan 30, 2018 - Business Analyst in San Francisco, CA",5,Video game industry is exciting. Good perks and parties. International company with a diverse workforce. High emphasis on employee retention. I loved my coworkers. Great location in SOMA neighborhood of SF.,You need to like an open floor plan.,1 person found this review helpful
Analyst,"Feb 7, 2018 - Anonymous Employee",3,good team members to work with.,low pay than similar companies.,Be the first to find this review helpful
Care more about the bottom line than you.,"Jan 25, 2018 - Technical Support Representative in Morrisville, NC",1,I made some great friends there.,Management will not listen to their employees. Will pay you well below the area average for that job. Not do review on a regular schedule. Keep you at a contract position while asking you to do full time employee's work. No room for career growth. Care more about the time on the phone then helping the customer.,3 people found this review helpful
Communications,"Dec 1, 2017 - Anonymous Employee",5,Great culture and overall great company to work for,Not a great maternity leave or work from home policy.,2 people found this review helpful
Ubisoft as a work place,"Nov 13, 2017 - Anonymous Employee",5,Really cares about the employees and it is an innovative work space.,"Too many employees, it can get impersonal at times",Be the first to find this review helpful
Analytics,"Sep 28, 2017 -",5,"very nice people, good culture, interesting work",smaller office than expected,1 person found this review helpful
Difference between Dev Studio and Marketing/Business Studio,"Oct 24, 2017 - Anonymous Employee in San Francisco, CA",1,"Theres 2 side of Ubi SF: Dev and Business Ops/Publishing. I've seen and heard what the Business side of Ubi Sf is like and it is much more relaxed, balanced, and healthy.","I was unfortunately a part of the Dev side. To keep it simple, if you like pure disorganized chaos and absolutely horrendous toxic culture where numbers and checking things off the list is more important than a quality job or life, this is the place for you. Working there has become a part of my life that I just want forget and move on from...",14 people found this review helpful
great place to hone existing marketing skills but not long-term,"Sep 7, 2017 - Anonymous Employee in San Francisco, CA",4,"lots of flexibility in different areas - on attendance: if you are getting your job done, no one is really concerned with your exact hours or if you need to WFH or run an errand during the day every once in a while. everyone holds their weight and gets the job done. also in terms of creativity: if an idea is awesome and you are passionate about it, people will definitely entertain the idea. great environment for someone who has a few years of experience in a marketing function. you can easily apply your learnings to really cool projects and brainstorm even bigger ones in the process. this is especially true right now as the company is expanding in so many exciting directions","zero training in the mktg dept which makes it harder for you and all of the teams you work with. if you don't already have existing experience, it's not a place to start out and learn. while it's a fun place to be, the terrible benefits and really low pay make it an undesirable place to work in the long-term. turnover is approx. 2-3 years but the upside is most people end up going to work for the ""cool tech companies"" that offer the usual bay area perks",6 people found this review helpful
