title,author_type,content,rating,pros,cons
"Great place to work, but don't expect to move up",Quality Assurance Tester,"Amazing culture, fun loving people. Only drama you'll find is the drama you make. Work load however it's quite heavy. But they care for your well being... Until the end of your contact. Then you're cut off right away. It's an amazing job until your contract ends",4,"Free snacks and drinks, decent pay","Lots of hours, but if you need a sick day, they'll never say no"
Lame,QA Tester,"Lack of advancement, way to much overtime demanded, pay is a joke, always be a contractor not a full time employee, full time employee will physical abuse you.",1,,
a full of liars,Senior Designer,You'd need to work overtime all the time but never get paid for itDo not believe what they say in the hiring processThey do not reimburse expenses for devicesTerrible management,1,,
Ok,Audio Visual Assistant,If you plan to make this a temporary job its not meant for you nor a career... But i do recommend to all that are so passionate and hard workers that are experienced at what they do work smarter not harder the pay wasnt good for me but i enjoyed working there i can only imagine what my pay would look like if i got payed more by the hr,4,,
Pretty Fun and Relaxed while also Productive,Quality Assurance Analyst,"Most average work days were pretty nice and i enjoyed them as a member of the night shift. Everyone got along great and helped each other out, the complaint would be unexpected overtime, as in expected to stay because of emergency test got planned 5 minutes before shift ended. Otherwise they REALLY care about you there and always willing to help anyway they can.",4,"Free Lunches at least once a month, TV and game systems in break room, Lots of Overtime possibilities","Healthcare can be hard to contact through third party, Can be hard to contact using person email, Unexpected Last Minute shift extensions"
Good place to start job career in Ireland,QA,"As one of the first places to work once you arrive in Ireland, Activision is a good place to get started. Culture is nice but benefits are super limited.",4,,
Fresno location was wonderful,Clerk,"I enjoyed coming to work every day. Management cared, and that made it easy to want to excel. Several perks, including free games. Good hours, minimal weekends.",4,The people,Long hours during game launches.
Unprofessional dream killer,Quality Assurance,"Its a contract job for people with dreams of game development. It takes advantage of people by giving them expensive insurance and poor wages. They justify low pay by giving their employees merchandise.The management is awful, they ignore office bullying despite being reported over 5 times. They come in late and scold you for being late. They get wasted and or high. They are down right disrespectful to employees.They will cater and hold various events for morale, even though they use that to justify their abuse.Overall, a poor contract job with rude management. And not high enough pay for the stress, and not enough to even pay rent. Will not work for again.",2,"Sense of accomplishment, no dress code.","Poor pay, bullying, awful insurance"
"Interesting co-workers, trying management.",QA Functionality Tester,"As an easily replaceable quality assurance tester in the gaming industry, you will never be left wondering about your job security. You will see many groups of new testers appear and disappear at about the same pace.Expect constant surprise overtime and crunch times. You will not be able to have a life outside of work after the hard pace of the workflow and the demands.Employees are often like-minded and completely fun to talk to. Get used to this and take advantage of the lap as it will be your only outlet.Testing unreleased products is great, and it's very rewarding to see people's first look at something you've been working on for months.Treatment from low-level superiors is often lacking, expect to be treated as if you are in day care. Seniors constantly seem to have something to prove, and that 'something' is that they are better than you in all respects - right or wrong. You will not trust the full picture or even a third of the required information.In stark contrast, leadership is often much more relaxed and easy to get along with.This is not where your dreams of becoming a videogame developer will begin. This is where your dreams will go to die. To be crushed and siphoned from you to oil the great AAA machine.",2,"Coworkers are like minded, Being in the know is","Work/life balance does not exist, Treatment from superiors is lacking at it's base, Compensation is less than competitive, Information mismanagement at all levels, Absolutely no trust, You are cattle"
"A fun place to work, but most likely will only work there temporary.",Quality Assurance Tester (temp job),"Overall I had a great experience at Activision, the only thing negative about working there is when you work 12 hour shifts. But other than that, the days flew by even during the 10 hour shifts. Plus you get paid time and a half during overtime.",4,Getting paid to play video games,Switching to 12 hour shifts.
Basically a sweatshop for gamers with high hopes...,QA Tester,They send in herds of kids and drugdealers multiples times a month because everyone quits. Half of the staff is also high out of their minds or drunk..,1,Easy to get drugs if your into that,No work/life balance. Kids wear furry tails...
A very unique environment that I'm happy I got to work in.,QA Tester,"Working QA at Activision wasn't like any other job that I had worked at or have worked at since. It honestly kinda felt like being part of a big awkward family, and not in that stupid corporate PR ""family"" sort of way. Things were generally pretty laid back and friendly and the managers got to know most of the employees that they frequently worked with on a fairly personal level. The only real problems that I had with the job were things like: you might not be making enough to make the job worth your while unless you are taking the absurd overtime hours, the majority of positions above your managers will treat you like dirt and only barely allot your managers any respect at that, and that the QA position is considered seasonal but they don't tell you when your last day is so you just end up wondering when your job is going to end instead of being able to plan around it.",4,"Sometimes offers free meals, good overtime pay, unique friendly work environment and culture, long breaks","Rude higherups, never know what you are going to be doing when you come in, doesn't pay well without overtime"
Overall a negative experience,QA Tester,"I do not recommend anyone to work there.The salary is really low for a city like Dublin, contracts are temporary, max 18months. Career growth is non existant, they pretend like everyone has a chance when it's really all about those already permanent.Expect to work weekends and banks holidays. Management is really really bad, they treat people poorly, especially temporary testers. So many more problems there, management made it a really toxic place to work, it's a factory, where you don't matter at all,I do not recommend.",1,,
Fun working place good working with coworkers,Forklift Driver,"A typical day at work would be that we were very busy everyday. What I learned was to be very responsible,careful and safety. The most enjoyable part about this job was that working with my fellow employees.",5,,
Fun workplace environment with fellow gamers!,Player Support Intern,"- typical day of work: help answer tickets and learn more about the Player Support team - management was very nice and willing to teach us more about the industry - fun environment! Most fellow employees were also gamers and we got along really well, but they're also friendly if you're not a gamer! - awesome kitchen: free snacks and drinks! - kind of wish that we did more in-depth tasks but it was just a 3 month internship so I understand there's not much time for that",4,,
"Fun workplace, heavy workload, testing great products.",QA Testing lead,Testing and ensuring that each video game title is release as cleanly as possible with as few bugs and errors as possible. Working together as a team to ensure proper programming and debugging.,3,"Intense work, paid overtime.","Heavy workload, sixty hours a week, strong need to meet deadlines."
Fun work environment with great management,QA Tester,A fun company to grow with and be a part of. Management that really understands family life and are very personable people who treat you more like a person than a number and also help you with typical questions one may have when new to video game testing. all in all a great company to work for.,4,,
fun place to work,"SVP, Global Chief Information Officer, Head of Global Strategic Sourcing","Fun place to work, Great business, lot of opportunities, Great management and executive team, Global company, great culture, Entrepreneurship spirit, Fast Pace",4,,
Abandon all hope,Quality Assurance Tester,"One of the worst companies I've worked for and Quality Assurance is the epitome of a thankless job. The pay is terrible. They posted 7.5 billion dollars in 2018 and just recently increased tester salaries to a whole $12 an hour. There are signs at retail positions in my area for $14 - $15. That is how little the company values QA. Metrics are the name of the game yet QA employees are not rewarded for meeting miles stones with number of bugs submitted. Oh our bosses get reamed out when a critical showstopper is missed, who then in turn ream us out as a group, but catch something egregious just before a major games expo...Pat on the head and a ""good job"" Developers talk down to us in comments, insult our intelligence, and treat us as a nessecary evil. Burn out is common, turn over is huge. Good workers are rewarded with more responsibility for no extra pay. This adds to resentment, burn out and quitting. Bad workers are common and not fired nearly fast enough because you still need a crew to sail your ship even if the majority of them are useless. Don't come here thinking this is your ""foot-in-the-door"" like some many naive kids I see. You will never get out of QA. The CEO or some executive will never come over and see you doodling during your break and be so impressed by your subpar weeb drawings that you are elevated to a character artist. QA is where dreams and dreamers go to die. You could make lead, or project lead maybe. But the company has routinely laid off large groups of QA positions when profits didn't meet their unrealistic expectations. So even - more...",1,,
Great Coworkers.. Frustrating Job,Functional QA Tester,"QA testing at Activision involves some video game playing but mostly involves searching and writing bugs as well as marking off testing in lists and verifying bug fixes. It's an office job involving video games more than a job about playing video games. This job requires a lot of flexibility as communication from other offices can be sparse and unclear which can lead to a lot of waiting to be able to do things. What we are doing can be changed at a moment's notice. The overall organization can feel scattered and all over the place. What's more is, because our testing office is nearly constantly hiring, newer people always outnumber people who have been here a while. Many people pick up the job quite quickly, but the imbalance of new people unsure of how to do things leads to a lot of mistakes and things falling through the cracks. In many ways, it feels like more experienced testers still do the bulk of the work despite the ginormous team we have on staff. I have met a lot of really good people doing this job, some of which are the best coworkers I've ever had, but that doesn't make up for the daily frustrations of this job. We had been on crunch for 4 months (12hr days 6 days a week) and that wore everyone down substantially and eliminates any healthy work/home balance. There are some opportunities for advancement, but for the average tester, there is no hope of moving up even if you do a lot of the work people above you do already. Especially with the quantity of new people this can mean having more responsibilities and doing a lot more leading without a pay raise - more...",2,,
F air an perfessional,Distribution dept,I loved working for this company the work was consistent never a time when you did not have something to do fast paste is my joy it make the time fly by the only thing I wished for was overtime,5,Consistent work fliw,No ivertime
"Fun environment, but the pay and hours are not for everyone",QA TESTER,"Depending on your project, you will find yourself working 12 hours a day, 6 days a week, for weeks or month prior to launch. The Leads are rather hands off, leaving things in the hands of senior testers. These senior testers are generally decent at delegation of tasks, but there were multiple instances of normal testers having to waste time due to their inefficiency at getting things done. 12 hour days would not be needed if the people in charge were more on top of getting things done. Overtime pay is nice, but the base pay leaves much to be desired.",2,,
Long days,Stocking,Going to work every day knowing that they were 12 hours days All week and some times on Saturday. Great place to meet new people and unloading trails that come in,3,,
A pleasure to serve,"Vice President, Internal Audit",A great company to work for in an amazing dynamic industry with tremendous potential. Opportunity abounds and it's truly a global organization offering great products.,5,,
Fun workplace overall.,"Sr. Manager, Distribution","In my specific group, work culture could be better. Need more collaboration between teams. Company, in general, is a fun work environment with like-minded workers.",3,,
"Fun, easy if you like games. Terrible if you want to do more then just game.",QA Tester,"Working here was mind dulling and repetitive with what work they give you. If you are a teenager and want to just play games for a living of 11$ an hour. great, you're set. If you want to move up in the community. Not a chance. Look to a different publisher.",3,,
"Fun Place to work, with some big cons.",Quality Assurance Tester,"Working at Activision has to be the focus of your life. Working QA does not give the employee much notice, if any, for if work will be required on weekends. It was frequently required. It is a fun environment with enjoyable company and management. However, QAMN feels like it is seperated from the main Company of Activision. While the locational management is fantastic, the overall company seems to just have QA under their boot for whatever the whims of the developers are. If you do not have much else to do and would love to work with a fun group of people on fun projects then this is not bad. However if you have other things to do outside of work, it gets in the way of personal development.",3,,
This isn't a job its a death sentence.,Quality Assurance Tester,"If you're expecting your hard work to ever be rewarded stay far away. QA positions are still treated like an outsourced job, and management is too chicken to stand up to corporate to fix things. Contracted positions ensure that you never have job security and that you are expendable regardless of performance. Good for someone fresh out of high school since they'll take anything that breathes but otherwise stay away from this picture perfect example of corporate greed.",2,Free terrible games. Great place to find friends that hate life as much as you.,CONTRACTS you will never be a proper employee or be treated as anything more than outsourced labor.
Q & A Tester,Q & A Video Game Tester,"Typical Day at Work: You worked on finding bugs and glitches most of the day. You got three breaks two shorter, one longer that were spaced really well. When you were feeling like you needed a break it was time for a break. What I learned: It's enjoyable to work as a Q & A Tester Management: Good overall, only negative was didn't really have flexible scheduling. Workplace Culture: Good Hardest Part of the Job: Getting used to the hours, I was night shift so I had to get used to staying up late. Most Enjoyable Part of the Job: Honestly everything else.",4,,
Passion,Production Coordinator,"Building a video game is incredibly hard work. Lots of 100 hour weeks to finish a game, but if you loves the gaming it is worth all of the sacrifices in your personal life.",5,,
Austin's Customer Service center has a unique atmosphere.,Specialist Game Master - Customer Support,"Working at Activision Blizzard's Austin campus was a great experience, the atmosphere was like being with a family. Blizzard's always been overwhelmingly accepting to all woks of life. With how fun, friendly and accepting the fellow employees are, it almost makes up for the work load and the slightly lower pay compared to other like jobs. Working for a video game company; as Customer Service, you do interact with an interesting customer base. Being gamers, we're far more passionate about our games and interactions. Customer interactions tend to lean harder to both ends of the spectrum. You'll face as many un-fun contacts as the run of the mill every day contacts; great and impressionable contacts can be far and few between. Burn-out can be a real issue. Stress in the workplace is an on-going problem. When choosing the Austin campus, if you're wanting to work your way up the chain to non-Customer Service jobs. Making the step to Irvine is a great challenge and in some cases is impossible. Being so secluded from Head Quarters, networking can be a major challenge. Don't see Customer Service as 'getting your foot in the door'.",5,"Fan base, loot, healthcare, atmosphere, family and friends","Low pay, heavy work load, burn-out, stress, seclusion from HQ"
"Long hours but very flexible, with incredible work environment and management.",Quality Assurance Tester,"A typical work day is 8:30am to 5:30pm or 5:30pm to 2:30am for night shift, Monday to Friday with varying weekend work. During crunch time for games, typically between June and December, the hours can become more prevalent and can increase to 6 days a week regularly. This job is very team oriented and you are always around other people in a bullpen style office. The work environment is very friendly and casual but professional with a focus on the current project. Project can be moved around a lot and requires you to remain on your toes and learn as you go. The hardest part for me personally was the crunch time hours in which the hours were increased dramatically but the overtime pay was well worth it. Management is very good as they higher internally from people that use to be in your position, so there is a better connection. Overall, if you are someone that has a lot of time to work, you enjoy gaming and working with people with the same passion as you to help make them work, then this is the place for you.",4,"Management, Flexibility, Work environment","Long hours, Small window for advancement, Job security"
Cool chill atmosphere with way too much overtime,QA Tester,64 - 69 hours of committed time per week for over month. Zero communication about how long to expect overtime to continue or what general expectations are. Sometimes they only give an hour's notice that the shift is being extended 2 or 3 hours.,3,,
Treat employees like their gamers...,"Anon, International",...unable to provide a clear summary at this time but hopefully the review summary will give a good enough indication of what it is like to work at AB,3,,
Frustrating and unorganized but a fun environment.,QA Analyst,"From my experience working at the Activision QA MN branch, I have had a lot of fun as well as experienced a lot of adversity. Entry level positions are all contract based, and with most contracts, temporary. Advancement opportunity is severely limited. It often feels as if it is not based on qualifications but whether or not management likes your personality. The hourly rate is very low as with most entry level jobs, which is understandable. However as it is contract, there is no chance for pay increase in relation to how well the job is done. So, someone who performs to the best of their ability is always going to be paid the same as someone who performs the bare minimum. So, treat the job for what it is. Temporary and used for experience. As it is a contract job, I have met a lot of new and interesting people who have come through the job. Coworkers are almost always friendly towards each other and finding new friends is fairly easy. Most people who work here are all into the video game scene so it is easy to spark new conversations. Direct management is always within reach as they are on the testing floor near the other testers at all times. An open door policy with higher management is in place making conversing with management very simple. Management is, for the most part, very helpful and nice towards testers. Of course, there's always going to be some abrasion, but that's something that comes with all jobs. HR is also always close by and more than willing to help which is very nice. Now, one part I do have to warn about, is the hours. Seeing as the primary - more...",3,Fun and interesting job with a lot of nice people.,The business plan doesn't feel 100% flushed out yet but has a lot of potential.
Friendly,Production Worker,New experience meet people I would Iike to go back and work at this environment again it was. Seasonal job to start and no experience needed to start.,3,,
Fun place to work at,Quality Assurance Tester,It is a fun place to work out but also will keep workers occupied. There is plenty of downtimes but also plenty of time where everyone is working constantly.,4,,
Fun environment but advancement is questionable,Senior Financial Analyst,Great coworkers and it's definitely a place I would stay long term if there was career advancement built into the role. Management changed often which throws everything into discord.,5,"Free snacks, discounted games",2 weeks vacation and 1 week company shut down last week of year
Incredible experience,Quality Analysis Tester,"Typical day on the job is high pressure to ""break the game"" Management was more than willing to answer any questions I had. The culture was what you'd expect; full of gamers. The hardest part of this job is during crunch time, you eat sleep and test the game which makes work/life balance difficult if you're a family man/woman. The most enjoyable part I found was getting an inside look at the video game industry and how it functions. Definitely a great experience if you're an avid gamer. Overall I'd say Activision/Blizzard is a great company to work for, upper management would always crack jokes and make it a fun environment to the best of their ability.",4,overtime pay/pop&snacks/management,Work/Life balance and Hourly pay without overtime.
Abandon all hope ye who enter here,Quality Assurance Tester,"You have to sign an NDA (Non-disclosure Agreement) that's so one-sided I'm surprised I didn't have to sign in blood. I'd go into detail but the NDA doesn't allow me to talk about my NDA...no, seriously. As a game tester you get to see the game in it's worst possible state. There will be days the game is barely functional and you are expected to just ""deal with it"". It can be incredibly frustrating at times. Mandatory overtime is to be expected and they are VERY upfront about that. During crunch, 12 hour shifts 6-7 days a week are common. Yes, you will be working every weekend from now until Ragnarok. I can't tell you the number of people that have quit because they didn't want to work the weekend. The company relies too heavily on metrics and unrealistic target predictions to make sure it's getting its money's worth. This causes everyone to ""game the system"" by writing up 100s of low priority bugs simply because they are easier to find and write. Management tries to help as best they can but has very little power/authority to make any meaningful changes. Company culture is CYA (Cover Your *ss). Doing the absolute minimum is what I've learned working here. There is no incentive to go the extra mile, you won't be rewarded. You are contract and thus will NEVER get a raise. You will also be making the same as the worst/laziest tester. Good employees are rewarded with more work and responsibility for the same wage. During high turn-over periods almost anyone is accepted as long as they have a pulse. Many of the people that work here play too many games and don't - more...",1,"Soda machine, paid sick leave","Unrealistic demands, low wages, no advancement, noise, unprofessional environment"
Productive,Forklift Operator/Warehouse,It was fun at times and easy at times was really fast paced under staft management was poor unfair treatment depending on nationality leads did very little to help workers leads were always right according to management supervisors alike,3,40 hrs a week,Management
Very Nice Staff but Work/Life Balance is desperately lacking.,Quality Assurance Tester,"Prior to all releases and launches, most employees will end up working 12+ hours per day up to 7 days per week, not allowing much time outside of work. However, that being said, most of the staff is very nice and friendly to be around for these long hours.",3,Swag,Low pay for the amount of work completed.
It has been so long,Credit Manager,I cannot really review Activision because it has been so long since I have been there and the company has changed so much over the last 20 years - I really cannot say much at this point,3,,
"Amazing projects, but environment can be soul-sucking","Marketing, Activision Publishing","Activision is like business school on steroids. It can be very motivating because the business sets goals, sticks to its mission and wins. You will learn a ton. But internally it is driven heavily by politics, certain teams carry far more sway than others, and decisions definitely are being made in ""the meeting after the meeting."" Culture can be especially hard for women - very few are in leadership roles and the company's values tend to promote combativeness and aggression. The company does attempt to acknowledge successes and offer rewards to lower-level employees who are outperforming expectations but the company could do better. Some of the creature comforts are cool - everyone gets video game consoles and TVs on their desks, there are free snacks, and the company does lots of happy hours and parties.",4,,
Great IP to be involved with low engagement from managers and office,MBA Film & TV Business Strategy Intern,For a studio spun-off from a gaming company its a surprisingly non-gamer community; like most production companies ABS is a small unit on no-nonsense executives and their assistants. Collaboration and interaction is somewhat low and work is a lot slower than a traditional production company as much is being developed in-house.,4,"Its Activision, good people","short breaks, little interaction between co-workers"
Great Company with some not so great Teams,Rather not say,Great company but definitely has some holes as expected. My experience is among bad leadership but this encounter is an isolated situation which does not reflect the company as a whole.,5,"Benefits, Happy Hours, Great Parties, Fun environment",Advancement and Recognition
"A great experience, I'd love to work there full time.",Customer Service Representative,"My time as a Summer intern at Activision/Blizzard was an incredible experience. I was a customer service representative there, and I learned how to work with a team of like minded individuals to meet our goals. The hardest part of the job was going back home at the end of the summer.",5,,
You will get exploited,Localization QA Tester,"Very poor working conditions, exploitation at its finest. Shame on Activision for running the Localizations office as a sweat shop. People were amazed to hear that such high profile company would treat their employees this way.",1,You get to learn curse words in other languages,"Work in shifts, work on weekends compensated as regular days, parking provided to top management only, AC shut down on weekends to save costs"
Distribution Center,Quality Supervisor,"I worked at a distribution center, not the head quarters, so it was a dirty dark facility that no longer exists. The facility was closed in February 2018.",3,,
Very social work place,Production Worker,Work is easy but fast paced and competitive. Employees are very social and kind. Days go quick and are not tiring at all. Culture is productive and easy going.,3,Social events and discounts,Hot warehouse
no advancement,Assembly Line Worker,"not a career to stay in for a long period of time. 40 hours a week with minimum wages. a good place for a summer job, but wont be able to support long terms financial responsibilities. but with the right crew any fun.",3,,
A fantastic work environment with excellent managers,Quality Assurance,The culture at Activision is one that I dare say could be rarely rivaled; extremely competent managers who genuinely want the best for each employee. The most rewarding part of working at Activision has been the plethora of opportunities to grow my skill as a concise writer as well as bolstering my ability to efficiently grasp make quick decisions in heated times.,4,"Very accepting work culture, occasional free meals, and bi-weekly in house events.","Short breaks, long hours."
Meh,Quality Assurance Tester,The good things: The people I work with and management are all pretty cool. The job is easy and you're paid to game all day. It's a fun environment. The bad things: They request people with an education and totally low ball them regardless of how high of an education they have. They do not take that into consideration when it comes to compensation for working there. Permanent positions are rare and hard to come by.,3,,
My time at activision,Quality Assurance Technician,"work long hours and for little pay, but the job and the people there were great, i would recomend this job to anyone who has a love for video gaming and would like to know more about the behind the scenes aspects of the video game culture",3,,
all I am missing is a brand to make me an activision cattle,Quality Assurance Tester,"if you like being treated like cattle, work here. you dont even feel like a human worker when employed here. treated like a dime a dozen. seen hard workers there for 10+ years and never got a promotion or raise.",1,,
Awesome day at Activision,"Packing ,",Typical day at work walking in to work everyone smiling an talking an getting settled in. I learned how systems are boxed an processed and organized thanks to our Management this are set up pretty nice and in order . They are very helpful they wont leave your side until your sure. . The hardest part of the job is standing on your feet all day an doing the same thing over and over.you may get a little ditsy but The most enjoyable part was coming into work feeling blessed to have a job an me an my co-workers motivating each other to be there every day .,3,paid weekly,temporary job
production worker was a great job,Production Worker,There were slow days and busy days. it was great working as a production line. also working as a sit down forklift driver and working at distribution worker at Blizzard. as a order picker and rf scanner. I also learned how to work together as a group to be number one at all times.,5,free lunch and prizes,not enough overtime hours
Not for the feint of heart,Manager,"Overall, some of the smartest people I've ever worked with worked at this organization. If you want to get an MBA-level education without spending the money, working there gives you a ton of cool opportunities to learn. You will also likely work harder and longer than you have in other parts of your career. It's a great proving ground to test your mettle.",3,,
Fast paced and people friendly,"Director Payroll, Finance",Recommend for anyone who lives in the immediate area. Great entertainment company with continuous growth opportunity in the gaming and esport industry.,4,,
One of the best company to work with,ERP Consultant,"One of the best company to work with, there are ample amount of scope to advance in your career growth. Colleagues and work culture are most appealing part of the company. Ther work hard and party harder.",5,Future roadmap,Management
Great Experience,Desktop Support,Working for the game industry gives you a wonderful bit of insight into how it works. It is also a very 'ebb and flow' business model so job security can be scary.,5,Relaxed,Mandatory OT and Weekends
Its not work if you're doing what you love.,QA Tester,"Not the greatest pay to start but lots of available overtime to make up for it. Not hard work if you have the right mind for it. Management knows how long a tiresome the process can get and do anything they can to boost moral. free food frequently, and lots of promotional products for game as they come out, movie screenings, and plenty of casual hang out time to relax. its a lot of work and very high competition for positions but they make you feel like your part of something and its more like hanging out with friend than dealing with coworkers.",5,"Great environment, great people, great perks.","- Contract positions, nothing full time. Unpredictable schedule with long hours up 7 days a week in crunch time."
Activision Blizzard,Human Resources Assistant,"Working at Activision Blizzard was a blast. The hours are long but your surroundings are very accommodating. The company is great to work for, they take care of their employees very well.",5,,
Waste of time and opportunity,QA Tester,Being able to play video game from time to time was great. The free snack and drink was okay too. The best reward you get for working hard is the survival of time-based layoff. This job sucks.,1,Everything,
It was a pretty good place to work,QA Tester,In general it’s a pretty good place to work. Most mangers are nice as well as most of the people. Some mangers play favorites for moving people to DLC.,5,,
Productive and fast pace.,PRODUCTION WORKER II,The culture of place was good. Their wasn't to hard projects to do. The most enjoyed part of the day was specking with my co workers. Has far has management they were extreme fair.,5,Stable work.,Not enough overtime.
Administrative Support - Overall Satisfaction,Recruitment Coordinator (Contract),"Fun company to work for. Company runs lean, hard work/long hours is the expectation. Slightly above average compensation, benefits. Perks make up the difference. Company culture is work hard, play hard.",5,,
QA Shop is fun for first job,Quality Assurance Tester,"Activision is a ton of fun to work for. This job is not for people who are late in their careers and looking for a livable wage for a family or household, but more for someone just out of High School or summers in between college courses.",3,"Fun atmosphere, video games all day","Low pay, long hours"
Productive and fun Place to work at.,Senior Business Intelligence Analyst,its a great place to be at. The work culture is great and there is a decent work/life balance. there are tons of fun opportunities while at work and a party on every game release.,5,,
Not what you think it would be,Functional Tester/QA Senior Tester,"Oversee a team of 10-20, depending on the platform being tested. Writing and submitting daily and weekly reports directly to the producer. Delegate test case scenarios to various team members. Making deadlines.",3,Fun coworkers,"Long hours, low pay, limited mobility"
Grueling and Rewarding,"Senior Project Lead, Quality Assurance","I found my time at Activision to be a mixed bag. I look back at my initial time there as some of the most formative, ""Golden Age"" times of my life. I worked with quality people and I enjoyed coming to work each day. As time moved on and the work changed, so did priorities and the atmosphere. Work became more of a slog and i started to enjoyed the people I was working with and for less and less. Eventually, it became to much stress for not enough pay, and I was literally sleeping under my desk and working for works on end consecutively on a regularly basis. It can be a reward place to work if you are ambitious and willing to sacrifice a lot for the job. If not it is hard to recommend.",3,"Free Lunches, Swag, Discounts","Long Hours, Lack of Compensation and Recognition, No Work/Life Balance"
Exhausting,Senior QA Tester (Seasonal),"Great place to connect with other Video Game lovers. Many friends have been made throughout my 2 years there. However, there is no room for advancement and you will barely see life outside of work.",3,Free lunches and games,Mandatory hours and inconsistent scheduling
Menial and Unrewarding,Quality Assurance Tester,"Upper management only cares about the numbers. Only one aspect of the project is noted by upper management, but many parts are required to deliver a finished product. Direct managers are at least competent.",3,,
Awesome environment / Low pay,In-game Support Representative (Tier 2),"Blizzard is a company I could see myself working for my whole life, but only if I was able to find a better type of job within the company as well as better pay. This is a video game company and the atmosphere matches what you'd expect. It's very laid back and people can be themselves. In fact, it's encouraged. The only two things that drove me away are the pay and the type of work I was doing. I was a customer service representative. Most of the time, you only get to talk to customers that are upset about something, so you need to be someone with a very strong willingness to help, but also very thick skin. The pay was also fairly typical for customer service. You'd only be able to earn a decent salary if you managed to work your way up the ladder to a senior or management role, but you'd have to compete with a lot of other people to do so. There are other departments available, but many of them require the best of the best. You can get there, but it'll be a lot of work. I'd love to go back eventually. I got my 5 year sword, but I really wanted that 10 year shield!",4,"Fun atmosphere, game room, freebies","Competitive advancement, low pay"
Grinder,Senior QA Analyst,"To put it simply, Activision's QA office is simply nothing more then a grinder. They bring in testers for their seasonal launch windows and then send them on their way. They require degree's for their minimal QA role and then pay on a scale of someone with no educational experience. You can expect extremely limited job advancement as there are only a handful of full time jobs available and they typically only go to those who have developed an 'in' with the management team. This is a job for those in a transitional period of employment.",2,,
The employee vibe was amazing.,Facilities Manager,"The employees were wonderful to work with, but management would throw a wrench in the works daily. Sometimes impossible to recover from it. It made everyone question their abilities. Folks proffered not to speak to one another in fear of hearing it from someone that was not suppose to repeat it.",3,Events were magnificent it was eat drink and be marry,The red tape to get things done made one fail even if one was on point.
